Agency_ID,Max_Lat,Min_Lat,Max_Long,Min_Long
19130,34.043087,33.990266,-118.09304,-118.134164
19135,34.088132,34.036485,-118.101162,-118.165237
19145,34.173838,34.12402,-118.069508,-118.159164
19165,34.10619,34.036886,-118.086709,-118.12024
19170,34.154628,34.112032,-118.092301,-118.131764
19175,33.971057,33.895138,-118.029054,-118.090553
19195,34.141892,34.098879,-118.131764,-118.16111
19225,33.9655000002,33.95471,-117.9409499997,-117.9489300004
19900,37.26911719,37.14528688,-76.4582658,-76.70752009
21105,38.245566,37.846856,-122.481572,-122.965596
24000,39.2212791359,38.7881602458,-76.4439483557,-76.8395936447
25009,40.144744,39.827258,-82.783273,-83.165795
25013,40.1558171218,40.0502225229,-83.0751460693,-83.1829854459
25049,40.0673186112,39.9898387707,-83.0489305221,-83.0880607922
25123,40.0989730839,40.0088347377,-83.1172943775,-83.1760993722
25133,40.1409422617,40.0671939919,-82.9871072733,-83.0460616305
26001,41.5285379,41.5254023,-84.2973551,-84.3167096
26003,41.5767224,41.5445072,-83.9499982,-83.9964672
26005,41.6737371,41.612195,-84.268002,-84.3449617
26007,41.656319,41.656319,-84.059979,-84.059979
26011,41.6439665,41.5386991,-83.8727724,-83.9377684
26013,41.5730081,41.5149579,-84.1030441,-84.1651922
27025,33.9096158,33.7927912,-117.5066312,-117.6633541
27229,44.967942,44.933652,-93.341399,-93.397928
28042,28.3974,28.18413,-82.11314,-82.74366
29003,39.9861949123,39.9270047328,-86.0395044258,-86.2338831558
29004,40.1336657129,40.1336657129,-86.0306833482,-86.0306833482
29005,39.9709643504,39.9323538472,-85.8672082142,-86.0425057802
29007,40.0592996818,39.9598312123,-85.9497661539,-86.0685342185
29008,40.1710145791,40.1311379265,-86.1762560455,-86.2262181878
29010,40.053795622,40.0011238937,-86.0685342185,-86.1696457189
30005,33.8541126125,33.8060695884,-117.8081554433,-117.9923256994
30010,33.9462749024,33.908245537,-117.8306163513,-117.9184033992
30025,33.727372,33.6933402858,-117.919925,-117.969894607
30030,33.915142452,33.8514410218,-117.867451362,-117.9762240513
30040,33.742200684,33.6508235313,-117.9535767387,-118.0711451571
30055,33.669238,33.575141,-117.81689,-117.952451
30060,33.8100622405,33.787874,-117.8318255449,-117.878128
30065,33.80814,33.725708,-117.90101,-118.10435
33055,33.689181,33.546156,-117.132786,-117.3549079
34015,38.443049,38.430201,-121.500965,-121.516505
34020,38.450502,38.248224,-121.27415,-121.473513
34035,38.69804,38.646077,-121.100695,-121.19171
34080,38.695086,38.44468,-121.364936,-121.626494
34090,38.727837,38.456475,-121.155848,-121.471386
34120,38.275879,38.224743,-121.439311,-121.600149
34125,38.393148,38.393148,-121.216394,-121.216394
34135,38.139981,38.139981,-121.623767,-121.623767
35002,40.372065,40.30002,-111.951033,-112.021875
35010,36.92379561,36.76236224,-121.35993432,-121.53839163
36010,34.161642,34.077747,-117.550215,-117.624466
36015,34.51026,34.420754,-117.139046,-117.208086
36042,34.258494,34.258494,-116.866126,-116.866126
36058,34.038467,33.929274,-117.663636,-117.765939
36065,34.076309,34.05119,-117.29703,-117.313794
36140,34.088744,34.065914,-117.680888,-117.691808
36170,34.087353,34.005995,-117.534252,-117.680873
36180,34.084091,34.004253,-117.129792,-117.220441
36185,34.14875,34.068561,-117.347871,-117.409128
36193,35.47077,34.019765,-114.7746,-117.681019
36220,34.582175,34.456564,-117.287996,-117.407574
37005,32.841814,32.825699,-116.724186,-116.805302
37010,32.650475,32.650475,-117.051001,-117.051001
37025,33.165266,33.072488,-117.237346,-117.351717
37030,32.660649,32.59649,-116.948932,-117.100905
37045,32.698456,32.687351,-117.171168,-117.192112
37047,33.342841,32.564402,-116.186406,-117.380977
37050,32.96244,32.959167,-117.264431,-117.267127
37065,33.079171,33.016041,-117.220245,-117.308317
37070,33.157908,33.073158,-117.038008,-117.122841
37075,33.387903,33.328362,-117.103258,-117.258613
37084,32.824109,32.727486,-116.829517,-117.052705
37085,32.587015,32.571506,-117.104443,-117.118007
37090,32.882182,32.818879,-116.876847,-116.958211
37110,32.688692,32.658571,-117.060689,-117.110837
