X,Y,OBJECTID,ID,ENFORCEMENT,ADDRESS,DISTRICT,WARD,ANC,PSA,SPEED,XCOORD,YCOORD,LOCATIONCODE,VENDOR,MAR_ADDRESS,MAR_ID
-76.9980096315643,38.9518231393013,86,5,STOP SIGN SAFETY CAMERA,GALLATIN ST W/B @ 6TH PL NE ,4,5,5A,405,,400172.77001411,142657.26000182,8441,Sensys,GALLATIN STREET NE AND 6TH PLACE NE,900623
-76.9724416548891,38.9173364214996,87,9,RED LIGHT SAFETY CAMERA,Bladensburg Rd n/b @ NY Ave NE,5,5,5C,503/505,,402389.93635688,138830.14689498,81,VM,NEW YORK AVENUE NE AND BLADENSBURG ROAD NE,903098
-77.0080362866717,38.9423885789552,88,10,RED LIGHT SAFETY CAMERA,N Capitol St n/b @ Harewood Rd NE,4,5,5A,405,,399303.31566954,141610.82238934,101,VM,NORTH CAPITOL STREET AND HAREWOOD ROAD NW,907983
-77.0090093127404,38.9524149316719,89,11,RED LIGHT SAFETY CAMERA,N Capitol St s/b @ Gallatin St NW,4,4/5,4D/5A,403/405/407,,399219.07162722,142723.84561331,112,VM,NORTH CAPITOL STREET AND GALLATIN STREET NW,902322
-77.0090483817199,38.9548231094407,90,12,RED LIGHT SAFETY CAMERA,N Capitol St n/b @ Riggs Rd NE,4,4/5,4B/4D/5A,403/405/406,,399215.71162046,142991.17566749,121,VM,NORTH CAPITOL STREET AND RIGGS ROAD NE,903563
-77.0533082853963,38.9025362659594,91,13,RED LIGHT SAFETY CAMERA,K St w/b @ 25th St NW,2,2,2A,207,,395375.99797568,137188.19740268,134,VM,K STREET NW AND 25TH STREET NW,904122
-76.9651641872939,38.9251762084963,92,14,RED LIGHT SAFETY CAMERA,S Dakota se/b @ Bladensburg Rd NE,5,5,5C,503,,403020.72646465,139700.64508609,143,VM,SOUTH DAKOTA AVENUE NE AND BLADENSBURG ROAD NE,903777
-76.9857732721565,38.9104746317179,93,15,RED LIGHT SAFETY CAMERA,Mt Olivet se/b @ W Virginia Ave NE,5,5,5C/5D,505/506,,401233.89998046,138068.16696727,153,VM,MOUNT OLIVET ROAD NE AND WEST VIRGINIA AVENUE NE,900888
-77.0092337006784,38.880289578941,94,16,RED LIGHT SAFETY CAMERA,S Capitol Ramp s/b before I St SW,1,6,6D,105/106,,399198.81221059,134717.33077185,162,VM,, 
-77.0364537509965,38.9349742340463,95,17,RED LIGHT SAFETY CAMERA,16th St n/b @ Oak St NW,4,1,1A/1D,408/409,,396839.41119012,140788.36516652,171,VM,16TH STREET NW AND OAK STREET NW,901991
-77.0364171891943,38.9525425955595,96,16,RED LIGHT SAFETY CAMERA,16th St s/b @ Colorado Ave NW,4,4,4A/4C,403/404,,396843.55772302,142737.74300989,182,VM,16TH STREET NW AND COLORADO AVENUE NW,903866
-77.0280330363602,38.96102156664,97,19,RED LIGHT SAFETY CAMERA,Georgia Ave s/b @ Missouri Ave NW,4,4,4B/4C,402/403,,397570.3862723,143679.59576979,192,VM,GEORGIA AVENUE NW AND MISSOURI AVENUE NW,906149
-76.9833049015022,38.8533051237514,98,20,RED LIGHT SAFETY CAMERA,Suitland Pkwy w/b @ Stanton Rd SE,7,8,8B/8E,702/703/704,,401449.1453278,131721.94942972,201,VM,SUITLAND PARKWAY SE AND STANTON ROAD SE,901568
-77.0364787961927,38.9286951651302,99,21,RED LIGHT SAFETY CAMERA,16th St s/b @ Irving St NW,3,1,1A/1D,408,,396836.96120541,140091.33502499,222,VM,16TH STREET NW AND IRVING STREET NW,903066
-77.0281397081615,38.8920931832528,100,22,RED LIGHT SAFETY CAMERA,12th St n/b @ Constitution Ave NW,1,2,2C,103,,397558.78244331,136027.95821643,231,VM,12TH STREET NW AND CONSTITUTION AVENUE NW,905603
-77.0045950793745,38.9089048833635,101,23,RED LIGHT SAFETY CAMERA,New York Ave w/b @ Florida Ave NE,5,5/6,5E/6C,502/506,,399601.45481418,137893.82564153,264,VM,FLORIDA AVENUE NE AND NEW YORK AVENUE NE,904857
-77.0336552943429,38.8920973004163,102,24,RED LIGHT SAFETY CAMERA,Constitution Ave w/b @ 15th St NW,2,2,2A/2C,207,,397080.28634652,136028.57720573,274,VM,CONSTITUTION AVENUE NW AND 15TH STREET NW,901839
-77.0561080211119,38.9025387383625,103,25,RED LIGHT SAFETY CAMERA,K St e/b @ 27th St NW,2,2,2A,207,,395133.14692657,137188.61739727,283,VM,K STREET NW AND 27TH STREET NW,900014
-77.0319573845807,38.9025305451588,104,26,RED LIGHT SAFETY CAMERA,14th St n/b @ K St NW,2,2,2F,207/209,,397227.9913502,137186.69744421,286,VM,K STREET NW AND 14TH STREET NW,900719
-77.0151802891518,38.8875740660685,105,27,RED LIGHT SAFETY CAMERA,Independence Ave e/b @ 3rd St SW,1,2/6,2C/6D,102/103,,398682.97368203,135526.03413991,303,VM,INDEPENDENCE AVENUE SW AND 3RD STREET SW,903234
-77.0704132625071,38.9560410721211,106,28,RED LIGHT SAFETY CAMERA,Connecticut Ave s/b @ Nebraska NW,2,3,3F/3G,201/203,,393896.88054246,143128.69557476,312,VM,CONNECTICUT AVENUE NW AND NEBRASKA AVENUE NW,906932
-77.0592449170868,38.9368322343799,107,29,RED LIGHT SAFETY CAMERA,Connecticut Ave s/b @ Porter St NW,2,3,3C/3F,203,,394863.52078605,140995.65516385,314,VM,CONNECTICUT AVENUE NW AND PORTER STREET NW,904041
