near_schools,es,ms,hs,public_school,charter_school,anc_id,nbh_cluster,nbh_cluster_names,smd_id,ward_name,census_tract,comp_plan_area,objectid,station,stationnumber,y2015,y2016,y2017,y2018,avg_2015_2018,latitude,longitude,geography
[None],,,,,,6B,Cluster 26,"Capitol Hill, Lincoln Park",6B01,Ward 6,006500,CAPITOL HILL,12,Capitol South,59.0,7973.0,6983.0,6903.0,7002.0,7215.2500000000000000,38.88507028476405,-77.00514170482356,0101000020E61000000684DF3D544053C08BDCABFB49714340
[None],,,,,,6B,Cluster 26,"Capitol Hill, Lincoln Park",6B02,Ward 6,006600,CAPITOL HILL,25,Eastern Market,60.0,6194.0,5341.0,5169.0,5303.0,5501.7500000000000000,38.8846300457618,-76.99600340829632,0101000020E610000095551485BE3F53C08FCDAD8E3B714340
[None],,,,,,6B,Cluster 26,"Capitol Hill, Lincoln Park",6B06,Ward 6,006900,CAPITOL HILL,60,Pentagon City,61.0,14427.0,13201.0,12250.0,12311.0,13047.250000000000,38.88127105786087,-76.98549759767646,0101000020E6100000A5138464123F53C03E36727DCD704340
[None],,,,,,6C,Cluster 25,"Union Station, Stanton Park, Kingman Park",6C04,Ward 6,010600,CENTRAL WASHINGTON,80,Union Station,25.0,31186.0,29160.0,29469.0,28315.0,29532.500000000000,38.89777382571486,-77.00741657775139,0101000020E6100000FDB86183794053C03753B240EA724340
['Two Rivers PCS at 4th Street'],0.0,1.0,0.0,0.0,1.0,6C,Cluster 25,"Union Station, Stanton Park, Kingman Park",6C06,Ward 6,010600,CENTRAL WASHINGTON,57,New Carrollton,108.0,8349.0,7142.0,3767.0,6584.0,6460.5000000000000000,38.907024000505196,-77.00302273149173,0101000020E6100000B3394186314053C0AF6DC95C19744340
[None],,,,,,6D,Cluster 27,"Near Southeast, Navy Yard",6D07,Ward 6,007200,LOWER ANACOSTIA WATERFRONT AND NEAR SOUTHWEST,65,Ronald Reagan Washington National Airport,84.0,7284.0,6618.0,5970.0,5964.0,6459.0000000000000000,38.87648886695686,-77.00508793483235,0101000020E6100000626D585C534053C0A47185C930704340
[None],,,,,,6D,Cluster 9,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",6D01,Ward 6,010200,CENTRAL WASHINGTON,47,L'Enfant Plaza,82.0,20367.0,20526.0,20358.0,20240.0,20372.750000000000,38.88484551142272,-77.02191077311882,0101000020E61000006D7E71FC664153C057C9229E42714340
[None],,,,,,6D,Cluster 9,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",6D03,Ward 6,010500,CENTRAL WASHINGTON,29,Federal Center SW ,58.0,5373.0,5337.0,5459.0,6014.0,5545.7500000000000000,38.885080138773695,-77.01587050416467,0101000020E6100000EE16B805044153C0A32F554E4A714340
[None],,,,,,6D,Cluster 9,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",6D05,Ward 6,010200,LOWER ANACOSTIA WATERFRONT AND NEAR SOUTHWEST,85,Waterfront,83.0,4180.0,4063.0,3962.0,4271.0,4119.0000000000000000,38.87646964870295,-77.01750749592509,0101000020E6100000B89BC2D71E4153C0D28E4E2830704340
['Cleveland Elementary School'],1.0,0.0,0.0,1.0,0.0,6E,Cluster 7,"Shaw, Logan Circle",6E02,Ward 6,004801,NEAR NORTHWEST,68,Shaw-Howard U ,72.0,5087.0,4615.0,4264.0,4314.0,4570.0000000000000000,38.91348466004023,-77.02191399188325,0101000020E6100000A89DF109674153C09F22BA10ED744340
