near_schools,es,ms,hs,public_school,charter_school,anc_id,nbh_cluster,nbh_cluster_names,smd_id,ward_name,census_tract,comp_plan_area,objectid,blkgrp,block,geoid,geoid10,aland10,awater10,total_pop,total_pop_one_race,pop_white,pop_black,pop_native,pop_asian,pop_pacific_islander,pop_other_race,pop_black_other,pop_native_other,pop_asian_other,pop_pacific_islander_other,pop_hispanic,pop_white_non_hispanic,pop_non_hispanic_black,pop_non_hispanic_native,pop_non_hispanic_asian,pop_non_hispanic_pacific_islander,pop_non_hispanic_other,pop_non_hispanic_black_other,pop_non_hispanic_native_other,pop_non_hispanic_asian_other,pop_non_hispanic_pacific_islander_other,adult_total_pop,adult_pop_white,adult_pop_black,adult_pop_native,adult_pop_asian,adult_pop_pacific_islander,adult_pop_other_race,adult_pop_black_other,adult_pop_native_other,adult_pop_asian_other,adult_pop_pacific_islander_other,adult_pop_hispanic,adult_pop_white_non_hispanic,adult_pop_non_hispanic_black,adult_pop_non_hispanic_native,adult_pop_non_hispanic_asian,adult_pop_non_hispanic_pacific_islander,adult_pop_non_hispanic_other,adult_pop_non_hispanic_black_other,adult_pop_non_hispanic_native_other,adult_pop_non_hispanic_asian_other,adult_pop_non_hispanic_pacific_islander_other,total_housing_units,total_occupied_housing_units,total_vacant_housing_units,acres,shape_length,shape_area,sqmiles,geography
[None],,,,,,1C,Cluster 1,"Kalorama Heights, Adams Morgan, Lanier Heights",1C02,Ward 1,004001,MID-CITY,2233,0040013,3009,110010040013009,110010040013009,16562,0,440,431,381,16,1,25,2,6,2,3,4,0,29,362,15,1,25,2,0,2,3,3,0,424,368,15,1,25,2,4,2,3,4,0,25,350,15,1,25,2,0,2,3,3,0,330,309,21,4.09155529,599.2404695385709,16557.936798538336,0.00639306,0103000020E6100000010000003A0000008E089DB5004353C0F02556FCD37543405B228F48004353C04FF67EACD4754340AFF9FDEB014353C005BF7FACD47543409238E558034353C0AC1F5393D47543409B3557FF0C4353C0374DAC00D3754340D0C67DDD0E4353C0FC611FDFD2754340BAB9421C104353C07F6982E7D2754340635C77D0114353C002A9D619D37543404A3DE05A124353C08FF60233D37543407F73B36F134353C06A501D76D37543409E630CBB144353C0E61895F8D07543400C161856164353C06814D4F4CD754340E840667B194353C0901FF14DC775434059D9E9DF1A4353C093104C8DC4754340B9E2829C1C4353C06E8C1C7DC07543404623A4F81D4353C070624E0CBD7543400E2568371F4353C03CDCC760B975434064FBF286204353C0FFCC8BE3B4754340D58154BD214353C005933F90B0754340AB6EFE21224353C0121F4262AF7543408B26DA8A224353C0458A5F77AE7543407ABF4900234353C0300CA9A5AD754340DE449EC9234353C015D400AAAC754340FB326643234353C077ACAFB2AA7543404F114B00234353C05F1FDD9DA97543403C92612A224353C06A9EE3AAA6754340D521DC03214353C02AE93597A2754340E452CAD61F4353C0BFF463759F754340B87E7C8F1F4353C0F31757089F7543402A1BF8C11E4353C0760968B09D754340043E78761E4353C044BAF83A9D7543401BCCB8B91D4353C07F334E3F9C754340B1371E2B1D4353C0F385A6DA9B754340BEB65F6E1C4353C087B534659B754340C5F945FD1A4353C0BBA144A49A754340190465121A4353C0BF2736379A75434046B10D99174353C028061EC698754340AD835EB2164353C0943EA5DA9B754340167C96C3134353C02683D70FA57543401B21B14A0E4353C0016DA554B67543406E3B94070E4353C056C59315B77543400B3EF28D0D4353C0E763D89FB875434080DCD64A0D4353C06923C960B97543403A5133D10C4353C0FA33A9E2BA75434043147C960C4353C0D281FBABBB754340493991570C4353C0DA5CEB6CBC75434023ECAF6C0B4353C0B33111E2BE754340630A30210B4353C07F322BBCBF754340C0FCB992094353C0B1A9BFD4C375434050910943094353C06A10159EC4754340EA27E192084353C0A8B18F17C67543409E185A5C084353C072956595C6754340FC767871074353C058985384C875434014BD8E32074353C0770CC3F9C8754340214BD6F7064353C0645E9777C9754340F9038FBD034353C00DE15EDBCF75434084CEF497024353C07C1CBEA8D17543408E089DB5004353C0F02556FCD3754340
[None],,,,,,1C,Cluster 1,"Kalorama Heights, Adams Morgan, Lanier Heights",1C02,Ward 1,004001,MID-CITY,5325,0040011,1001,110010040011001,110010040011001,21394,0,323,312,295,5,0,12,0,0,4,1,4,2,23,274,5,0,12,0,0,4,1,4,2,293,268,5,0,11,0,0,2,0,4,2,20,250,5,0,11,0,0,2,0,4,2,172,157,15,5.28610454,622.7641812527064,21392.10610446081,0.00825954,0103000020E610000001000000260000002A95A07BFB4253C0B070A1E22C76434059E8F05C044353C05078CCFB2C7643401B73F2A3064353C0D5455B1D2D7643407ADFFFA7074353C03C0EE93E2D764340D2BE94B4074353C0DC5794752C764340A5EC5AC5074353C0D7DDEDE22A76434048222AC1074353C05DB145502976434016B7CDA3074353C0A812C9D627764340BE5BDC79074353C071A44C5D26764340DB9F8647074353C0E6D932EC24764340AFBC9C08074353C06C741A7B2376434029414FC1064353C00E7C631222764340E9DA6C6D064353C0371DAFA920764340DEEEF30C064353C0DA085D491F76434031234BA8054353C012EC6DF11D7643401DBEFDC9044353C09CF9806B1B764340C10CF847044353C0A4CEBB2C1A764340BA99EB43034353C0253B33461876434030D1ACD2024353C0ACEEA68D1776434063820A59024353C017EE19D51676434033FF35DB014353C0AF18F1241676434091D33059014353C0B5022A7D157643402A85C6CE004353C09829C9DD14764340C4CD6D83FF4253C0E93C3C8E13764340AB852F7BFE4253C0CA4B06711276434091428E6AFD4253C00B125E7511764340D558F2DBFC4253C0CD53EDFF10764340665C8BBAFB4253C0D245D325107643401DE4BD27FB4253C047DD8AC90F764340CD75F1FDF94253C0CE4FC6210F764340B6406467F64253C0C38763190F7643405CFCD52AE64253C08E9D9C080F76434031EADD4DDC4253C0243FC6210F764340E0277A45DC4253C0197E0BFF167643406AF7DC4DDC4253C02C8D8E152976434047C84156DC4253C0A00868F32C764340781CBB8DF24253C01359A2E22C7643402A95A07BFB4253C0B070A1E22C764340
['Oyster-Adams Bilingual School (Adams)'],1.0,0.0,0.0,1.0,0.0,1C,Cluster 1,"Kalorama Heights, Adams Morgan, Lanier Heights",1C02,Ward 1,004001,MID-CITY,5421,0040012,2001,110010040012001,110010040012001,16487,0,233,229,213,7,0,7,0,2,1,1,3,0,9,207,7,0,7,0,1,0,0,2,0,222,203,7,0,7,0,1,1,1,3,0,8,198,7,0,7,0,0,0,0,2,0,161,152,9,4.07381594,539.8684908473421,16486.14821569001,0.00636534,0103000020E6100000010000001C000000E5CDC0C1034353C04810FD117A7543400DA15659004353C0A61FB2117C75434082564D90FD4253C0C64DE7C57D7543400952B2E6EC4253C0E079B4208875434092E29246F14253C074E1011A99754340471B544AF44253C02C203D18A57543405D6E20DDF44253C02E7E3674A7754340312AA541F64253C0EAF55489A6754340A3D501B2FC4253C047A5B49AA27543409FCD9633004353C0E4764660A0754340F4AB9EFC024353C0BBA8D8BC9E7543405B2D99CD084353C0A2EEB5199B75434051BE6F920B4353C0F708E46D99754340F31A22290E4353C0A47AAFB9977543408B3A947C114353C04574B35D957543401EE99D39104353C0951CB4C694754340E10EE6670F4353C02A4CE04894754340077B3D030F4353C038B861FD93754340AFF9EF240E4353C045174723937543402DF778C40D4353C0D41A39B69275434052A032680D4353C0DE01663892754340DED43ABC0C4353C0AA83F62B917543406F268A6C0C4353C05B545B9D90754340B00CEFDD0B4353C09AE4F9668F754340ABA27D680B4353C05D0F6E178E7543407E8E5CA30A4353C09A0403468B75434042FD97EF054353C081AF71C278754340E5CDC0C1034353C04810FD117A754340
[None],,,,,,1C,Cluster 1,"Kalorama Heights, Adams Morgan, Lanier Heights",1C03,Ward 1,004001,MID-CITY,5326,0040011,1002,110010040011002,110010040011002,26019,0,518,484,431,17,0,16,0,20,7,11,14,0,94,366,14,0,16,0,0,7,17,8,0,473,404,14,0,15,0,17,6,11,5,0,80,346,14,0,15,0,0,6,11,5,0,324,307,17,6.428789,717.821809402563,26016.386067970456,0.01004498,0103000020E610000001000000230000005DAF6216C64253C091AEFE100F7643401CA02304D04253C0F2BFC7210F76434031EADD4DDC4253C0243FC6210F7643405CFCD52AE64253C08E9D9C080F764340B6406467F64253C0C38763190F764340581A35CCF54253C0C31EBE580C764340DD5D4574F44253C0C9F5831606764340993FA907F14253C06ED8EE85F6754340970BD75BEF4253C05213FEDAEE754340F4E63E9FED4253C0FAD11A1EEF754340F31447F3EC4253C0EBEAA93FEF754340966B7400E94253C02C6B18B5EF754340654DB7A0E34253C00FD94265F075434075E3A3D3DF4253C0D72B50D2F075434001BF0845DF4253C0EE957BEBF07543407CC13BB2DE4253C0176C7BEBF07543408A54A023DE4253C068C5B3DAF07543401A793699DD4253C0EAD725B9F07543408AEBCC0EDD4253C044B96C7EF07543404B864935D84253C09AD6B9E7ED75434098E8DC85D24253C01C48A5B1EA754340CD3AC064CF4253C0EC800CF5E8754340F9578015CC4253C02F1B1030E77543404B7A3EF4C94253C09E8916E3F075434024AB57F0C74253C04692ABB7FA75434075E8B1C6C54253C09877EAF0047643402AC51E23C54253C00909F4B9077643401E2BC36EC44253C0644635720A764340C6CC8566C34253C016BEC8F30D764340A8D1FCC6C34253C0020AAB470E764340A8ABA72BC44253C0B4A02B930E764340AEBA8294C44253C0577381C50E764340ABD79001C54253C0A9EF71EF0E764340D1E19C6EC54253C09BFA9C080F7643405DAF6216C64253C091AEFE100F764340
[None],,,,,,1C,Cluster 1,"Kalorama Heights, Adams Morgan, Lanier Heights",1C03,Ward 1,004001,MID-CITY,5327,0040011,1003,110010040011003,110010040011003,23710,0,275,322,276,19,2,18,1,6,4,0,5,1,20,264,19,2,18,1,0,3,0,5,1,317,263,19,2,18,1,6,3,0,5,1,19,252,19,2,18,1,0,2,0,5,1,168,193,9,5.85844308,632.5732858867027,23708.277986302543,0.00915382,0103000020E61000000100000022000000A8A120D8DD4253C0D2BFA6BDB5754340EBF1C10ADC4253C01287967EB6754340A9EC2ED0DA4253C0995ADDDAB6754340641DCC30DA4253C090576AFCB6754340CD828E28D94253C03A69F81DB775434026755974D74253C0371E22CEB77543409CC828D9D64253C0F9AD39D6B9754340E4B480DDD54253C093E30747BD754340609A0971D14253C033BF342BCF754340064D9BCDCF4253C07F6A3415D675434033AB0F15CF4253C0C8C4BC29D97543402859403BCC4253C09367AD90E6754340F9578015CC4253C02F1B1030E7754340CD3AC064CF4253C0EC800CF5E875434098E8DC85D24253C01C48A5B1EA7543404B864935D84253C09AD6B9E7ED7543408AEBCC0EDD4253C044B96C7EF07543401A793699DD4253C0EAD725B9F07543408A54A023DE4253C068C5B3DAF07543407CC13BB2DE4253C0176C7BEBF075434001BF0845DF4253C0EE957BEBF075434075E3A3D3DF4253C0D72B50D2F0754340654DB7A0E34253C00FD94265F0754340966B7400E94253C02C6B18B5EF754340F31447F3EC4253C0EBEAA93FEF754340F4E63E9FED4253C0FAD11A1EEF754340970BD75BEF4253C05213FEDAEE754340D5153E36EE4253C01EE398ADE975434094DB113FEB4253C0A34BDFCCDC7543404399A91DEA4253C0DF2F2304D8754340E5E78FACE84253C030D3D9EBD1754340E4749E2FE24253C08D804D50B77543402DAB5251E14253C05CD3FF93B3754340A8A120D8DD4253C0D2BFA6BDB5754340
['Oyster-Adams Bilingual School (Adams)'],1.0,0.0,0.0,1.0,0.0,1C,Cluster 1,"Kalorama Heights, Adams Morgan, Lanier Heights",1C03,Ward 1,004001,MID-CITY,5328,0040011,1004,110010040011004,110010040011004,1586,0,7,62,53,7,0,2,0,0,0,0,2,0,5,48,7,0,2,0,0,0,0,2,0,61,51,7,0,2,0,0,0,0,1,0,5,46,7,0,2,0,0,0,0,1,0,4,37,2,0.39182918,186.9698615957672,1585.676444962679,0.00061223,0103000020E6100000010000000D0000005449F402D84253C08234D1D6B575434059684A9ED74253C08F79BE2EB775434026755974D74253C0371E22CEB7754340CD828E28D94253C03A69F81DB7754340641DCC30DA4253C090576AFCB6754340A9EC2ED0DA4253C0995ADDDAB6754340EBF1C10ADC4253C01287967EB6754340A8A120D8DD4253C0D2BFA6BDB57543402DAB5251E14253C05CD3FF93B3754340F7358CA9E04253C0D61C6AA9B07543407DEBD7A9DE4253C054DA89D4A87543408CA4C4BADD4253C0FF294CC0A37543405449F402D84253C08234D1D6B5754340
"['Briya PCS [Ontario Road/Adams Morgan]', 'Marie Reed Elementary School']",1.0,0.0,0.0,1.0,1.0,1C,Cluster 1,"Kalorama Heights, Adams Morgan, Lanier Heights",1C03,Ward 1,004002,MID-CITY,2235,0040021,1000,110010040021000,110010040021000,21999,0,277,256,199,24,0,10,1,22,5,3,7,2,57,182,12,0,10,1,0,4,3,7,2,251,188,21,0,10,1,19,3,3,6,2,47,172,12,0,10,1,0,2,3,6,2,183,170,12,5.4356095,662.7110606104807,21997.131212067823,0.00849314,0103000020E6100000010000001E0000004A33EDF7B04253C05425A8F3D57543408A1A4A7EB04253C0E908602ED675434011F58204B14253C0593ABC29D97543401641EEB3B64253C06776AB4EFB754340713F306CB94253C013FDCD2E0C764340381358B3BA4253C0F3B9395315764340FBBE331CBB4253C0D0AFDD13187643401018505FBB4253C08BCDCA021A764340FD73AF0AC04253C0930B120C1476434031DC3CC3C04253C0F6DA9329137643400220D166C14253C0EB6DB13E1276434056FC9CF9C14253C0AC1509431176434047330784C24253C05221372E1076434024F67EE4C24253C09D8BB84B0F764340C6CC8566C34253C016BEC8F30D7643401E2BC36EC44253C0644635720A7643402AC51E23C54253C00909F4B90776434075E8B1C6C54253C09877EAF00476434024AB57F0C74253C04692ABB7FA7543404B7A3EF4C94253C09E8916E3F0754340F9578015CC4253C02F1B1030E77543402859403BCC4253C09367AD90E675434033AB0F15CF4253C0C8C4BC29D9754340064D9BCDCF4253C07F6A3415D6754340D5A78947CE4253C02153DFE2D57543400C20FA69C84253C04737EEB8D575434058A35DAABE4253C0503652C1D57543402B460669B24253C05C25C49FD575434019C331EBB14253C05E0A8BB0D57543404A33EDF7B04253C05425A8F3D5754340
"['Briya PCS [Ontario Road/Adams Morgan]', 'Marie Reed Elementary School']",1.0,0.0,0.0,1.0,1.0,1C,Cluster 1,"Kalorama Heights, Adams Morgan, Lanier Heights",1C03,Ward 1,004002,MID-CITY,2236,0040021,1001,110010040021001,110010040021001,20395,0,439,400,346,27,1,17,0,9,1,0,5,1,45,313,23,1,17,0,1,1,1,4,1,391,331,27,1,17,0,9,0,1,5,1,44,299,23,1,17,0,1,0,1,5,1,287,260,10,5.03932289,616.9542282822941,20393.41620568324,0.00787394,0103000020E610000001000000170000008A1A4A7EB04253C0E908602ED67543404A33EDF7B04253C05425A8F3D575434019C331EBB14253C05E0A8BB0D57543402B460669B24253C05C25C49FD575434058A35DAABE4253C0503652C1D57543400C20FA69C84253C04737EEB8D5754340D5A78947CE4253C02153DFE2D5754340064D9BCDCF4253C07F6A3415D6754340609A0971D14253C033BF342BCF754340E4B480DDD54253C093E30747BD7543409CC828D9D64253C0F9AD39D6B975434026755974D74253C0371E22CEB7754340D7BBB1E1D54253C0F77D94ACB7754340A1A3A6DDD44253C0152894ACB77543404E1BE035D44253C000B330A4B7754340C267F37EC84253C09F1930A4B7754340E26B3BCAAD4253C0D38C6893B775434074AF664CAD4253C008F8CB9BB77543406B9AE350AB4253C0F1112FA4B77543408EAC0E6AAB4253C026D3AD86B875434069766A87AB4253C0AA7DC860B9754340209E1BD7AB4253C0A647B74FBB7543408A1A4A7EB04253C0E908602ED6754340
"['Marie Reed Elementary School', 'Oyster-Adams Bilingual School (Adams)']",1.0,0.0,0.0,1.0,0.0,1C,Cluster 1,"Kalorama Heights, Adams Morgan, Lanier Heights",1C03,Ward 1,004002,MID-CITY,2237,0040022,2000,110010040022000,110010040022000,26106,0,503,455,377,39,0,30,0,9,3,1,7,0,34,355,39,0,28,0,0,2,1,6,0,445,362,39,0,29,0,7,3,1,6,0,32,340,39,0,27,0,0,2,1,5,0,362,314,22,6.45031134,710.344947211148,26103.483855644587,0.01007861,0103000020E6100000010000001A000000C267F37EC84253C09F1930A4B77543404E1BE035D44253C000B330A4B7754340A1A3A6DDD44253C0152894ACB7754340D7BBB1E1D54253C0F77D94ACB775434026755974D74253C0371E22CEB775434059684A9ED74253C08F79BE2EB77543405449F402D84253C08234D1D6B57543408CA4C4BADD4253C0FF294CC0A3754340D5CBA9E0DC4253C0B3552DEF9E75434027D98F06DC4253C0E9CC61E79A75434082652D67DB4253C01626F41598754340AF851A78DA4253C0C7F6011A997543404E3A3724DA4253C086D9E36D9975434040B18DBFD94253C06971718F997543404DC32357D64253C05F91D6979975434036E3035FBD4253C0C4C4AB7E9975434090F25682B14253C0898E728F99754340C92E6CF0AA4253C0B9E09CA89975434064D06CF0AA4253C0078DBC72B1754340B8F43201AB4253C007017FDFB3754340D41D5D1AAB4253C0E6768A7AB57543406D3EEC3BAB4253C0AFFDA4EBB67543406B9AE350AB4253C0F1112FA4B775434074AF664CAD4253C008F8CB9BB7754340E26B3BCAAD4253C0D38C6893B7754340C267F37EC84253C09F1930A4B7754340
[None],,,,,,1C,Cluster 1,"Kalorama Heights, Adams Morgan, Lanier Heights",1C04,Ward 1,003900,MID-CITY,5215,0039002,2002,110010039002002,110010039002002,53513,0,60,57,47,10,0,0,0,0,2,0,0,0,3,45,10,0,0,0,0,2,0,0,0,60,47,10,0,0,0,0,2,0,0,0,3,45,10,0,0,0,0,2,0,0,0,48,45,3,12.74742973,1301.3486924448464,51587.017868943265,0.01991786,0103000020E610000001000000430000001F164EC3DC4253C0E34F0B555E7643404B95CFE0DB4253C02C278865607643404D6DF477DB4253C0388320226276434049BF6D41DB4253C0082E1A7E64764340D5E81124DB4253C003FE2419667643406118E80ADB4253C07146DC8167764340763052FEDA4253C0A507D8466976434057282FD0DA4253C017EF6D9A6B76434071CDD99DDA4253C0A02E69F66D764340C09A3039DA4253C026B16FED71764340AA4478FED94253C09EB3B10E74764340AFF762A6D94253C0D283486276764340C255B941D94253C0E68FE0B57876434044967AD0D84253C083A178097B764340F6FD7B39D84253C0CE231DCA7D7643401615D9BFD74253C014AB6EC17F76434009D0B7FAD64253C0F2B39FA382764340EAD16A1CD64253C0A4A26E7D857643408CC3AC5FD54253C0D991DBB787764340974AA027D44253C09C38BA6C8B764340B47269F8C94253C0D8E2F3649D7643400A24C7D9BC4253C0D9ADAE63B3764340490C68F2B94253C0C0170A69BA764340F5668CFEBC4253C0A22FD770BE7643409389D1F1BD4253C0B88119FBBF764340F40AF3B6BE4253C0874EEC0FC1764340CFD60D91BF4253C06400960BC27643405851DFD3C14253C09A12F46FC476434086C73794C64253C0F2A388F1C77643408A3167C6C74253C0E4D1FB38C7764340F6F85687C84253C03C1AD5F1C5764340582FB926C94253C0DF0359E1C3764340CD91066EC94253C06121A20FC376434032EA680DCA4253C0985D5FEEC076434098BA973FCB4253C0E7DF5B60BC764340BFF82CE3CB4253C08EE7B436BA764340F32BF70CCD4253C0BF26BCACB67643407E3B52C1CD4253C0368408ADB4764340D61357DACE4253C08133D5CAB176434067264119CF4253C0FB5C3A3CB1764340A979B28ECF4253C01D8DA016B07643405B47A24FD04253C0F68A085AAE764340F569843AD14253C08192FD27AC764340C1B1903ED24253C05CBAF3F5A97643400D4DC7C4D24253C0705D85E9A876434091196353D34253C06A9116DDA7764340A62CFD78D44253C0307362DDA576434030C82D14D54253C06FFEB8E1A4764340BC79F152D64253C0452B9303A37643408200305BD74253C05339071DA17643408349BA41D94253C065642CD69D764340E80B95AAD94253C023CFC9369D7643404748E973DA4253C0A7B7A1EF9B764340AF13285ADE4253C0ECF23C2B96764340F71FDEC2DF4253C04A5EEB339476434044AD22B6E04253C0F35AC4EC92764340F7377144E34253C0E8194BAE8F764340CFDE0316E54253C07796417C8D7643408AB8C754E64253C0D4438B138C764340375EBE97E74253C0D1BC39B38A764340D466E5DEE84253C071E7AD6389764340F12ECF44FD4253C0A00FE4F076764340A9C411B9054353C065D711F26E76434063E5C52D0B4353C070F15B3667764340FD33A4BB104353C0CC428D725D7643404CC5BF200E4353C0EF1ECFED527643401F164EC3DC4253C0E34F0B555E764340
[None],,,,,,1C,Cluster 1,"Kalorama Heights, Adams Morgan, Lanier Heights",1C04,Ward 1,003900,MID-CITY,5216,0039002,2003,110010039002003,110010039002003,6306,0,257,247,194,29,1,12,0,11,5,3,4,0,27,180,29,1,12,0,0,4,3,4,0,252,191,29,1,11,0,11,5,3,3,0,26,178,29,1,11,0,0,4,3,3,0,224,209,15,1.8086387,345.6530993957439,7319.301147315708,0.002826,0103000020E6100000010000001A000000748D98CAC74253C04923DE4C797643407FFA7505C74253C0E39712987B7643407AB5B7DFC64253C005E3112F7C764340D7D9B498C44253C0546FEA2488764340F56AAB66C24253C03C59242394764340115A9DF9C14253C0F8839ECA96764340DB5E89A1C14253C06FD4D3159976434007005D1FC24253C052B9428B997643402CD13EA1C34253C059BDDDB09A764340573C74BEC44253C009CF4D269B76434011AF4151C54253C0CBE7A2589B764340B47269F8C94253C0D8E2F3649D764340974AA027D44253C09C38BA6C8B7643408CC3AC5FD54253C0D991DBB7877643404B7ACA0BD54253C03AC3CF4A87764340BC2EE820D44253C0BDAC7CEA85764340D68E9AD9D34253C0797244648576434047506353D34253C01C0C6279847643407562150CD34253C0042E560C8476434014AC089FD24253C006A7BA7D83764340ADE5564FD24253C0A99C742183764340DBAFE742D14253C0D1893D0482764340D3AE1F54CE4253C0E09EE1087F7643405E7D6B54CC4253C0BE8802F07C76434040878209C84253C05BDA287B78764340748D98CAC74253C04923DE4C79764340
[None],,,,,,1C,Cluster 1,"Kalorama Heights, Adams Morgan, Lanier Heights",1C04,Ward 1,003900,MID-CITY,5313,0039002,2009,110010039002009,110010039002009,0,1295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32004827,196.7884823796055,1295.1893842035684,0.00050008,0103000020E610000001000000090000000BD1ECB1194353C0228BA0F34776434086C6AA051B4353C062570C2E4A76434003AC8BF01B4353C069F9582E48764340E418AEB51C4353C08132315046764340047F6E441C4353C0E569AD233B764340817805BA1B4353C0B975366430764340683265121A4353C0B7967E2930764340462BFDF0184353C0A96A2AF72F7643400BD1ECB1194353C0228BA0F347764340
[None],,,,,,1C,Cluster 1,"Kalorama Heights, Adams Morgan, Lanier Heights",1C04,Ward 1,003900,MID-CITY,5314,0039002,2010,110010039002010,110010039002010,51167,0,341,332,285,16,1,19,0,11,3,1,5,0,30,266,16,1,19,0,1,3,1,5,0,327,272,16,1,18,0,11,3,1,5,0,29,254,16,1,18,0,1,3,1,5,0,215,209,6,12.66765584,1164.1306550453344,51264.184410540474,0.01979321,0103000020E6100000010000002C000000C6066A06DD4253C046C591C354764340A03E9C0ADD4253C01DCB7A0E597643401F164EC3DC4253C0E34F0B555E7643404CC5BF200E4353C0EF1ECFED52764340FD33A4BB104353C0CC428D725D764340D30506D0144353C034A0D54D56764340945FB0A9184353C0DE962CFF4E76434086C6AA051B4353C062570C2E4A7643400BD1ECB1194353C0228BA0F347764340462BFDF0184353C0A96A2AF72F76434002D2F9780D4353C0B902913A2E764340C57119F70B4353C091CB74F72D764340488C1CC90A4353C0BB0D83CD2D7643407ADFFFA7074353C03C0EE93E2D7643401B73F2A3064353C0D5455B1D2D76434059E8F05C044353C05078CCFB2C7643402A95A07BFB4253C0B070A1E22C764340781CBB8DF24253C01359A2E22C76434047C84156DC4253C0A00868F32C7643408522DA9DDA4253C0F5DDCCFB2C764340FD27B178D64253C0C1DBCCFB2C76434066447B71CE4253C04E63A3E22C7643400E0A491AC84253C0F5EDA1E22C764340D795516EC74253C02EFACBFB2C76434053874BECC64253C0B2BBCDFB2C764340CD081968C44253C0552474C62C76434000DD41A4CB4253C0B347B00B33764340CDD4713FCC4253C04A5ADBBB33764340E1D6C064CF4253C0C48A5463367643408A86F9C8D24253C034571667397643404350E37CD64253C01294B7BE3C764340C3930270D84253C0BF1DDE9C3E76434001D241E1D84253C03EEB4F123F764340E15163A6D94253C0F111940540764340344614F6D94253C0DA21057B407643400EB6846BDA4253C0507A584441764340A834F6E0DA4253C054D39E37427643409A2FFB62DB4253C0D11FB8A84376434077D810BBDB4253C0F187EDC54476434016541E28DC4253C064DA14A4467643405BDD55AEDC4253C081081C044A7643409662EBBADC4253C079240A5C4B764340A946DCE4DC4253C056EF198551764340C6066A06DD4253C046C591C354764340
[None],,,,,,1C,Cluster 1,"Kalorama Heights, Adams Morgan, Lanier Heights",1C04,Ward 1,003900,MID-CITY,5315,0039002,2011,110010039002011,110010039002011,13879,0,141,136,127,3,2,4,0,0,2,2,3,0,6,121,3,2,4,0,0,2,2,3,0,138,124,3,2,4,0,0,2,2,3,0,5,119,3,2,4,0,0,2,2,3,0,120,107,13,3.42932875,492.8087857486844,13878.001077599449,0.00535833,0103000020E61000000100000025000000A35E0638A94253C0D02F3F6D8176434035558DD7A84253C0C3DC91B789764340DB2600B6A84253C08F9E53248C76434083C3ED0DAA4253C0DF4019358C764340B12C8226AE4253C0D4B84EE98D76434011D166ABB74253C0E2BB7D90927643406C423A29B84253C08F429AD3927643402C9BE224B94253C0C73FE02F937643404CA6BBBBBA4253C0D6D7EC9C93764340ABA8884EBB4253C0A3F808E093764340B81A24DDBB4253C0342E892B947643408FFC8D67BC4253C0030E6B7F947643402946C5EDBC4253C081DC78EC94764340DB5E89A1C14253C06FD4D31599764340115A9DF9C14253C0F8839ECA96764340F56AAB66C24253C03C59242394764340D7D9B498C44253C0546FEA24887643407AB5B7DFC64253C005E3112F7C7643407FFA7505C74253C0E39712987B764340748D98CAC74253C04923DE4C7976434040878209C84253C05BDA287B78764340C8F0FC3BC74253C05C3F70A9777643407CDBB6DFC64253C01793F05D777643400879C61EC64253C04964E3F076764340533B87ADC54253C058BDF3C676764340C9371738C54253C018C565A576764340640B09CBC44253C0730B9E9476764340A7F82D62C44253C03531727B767643402790061BC34253C0F4871E49767643407827D166C14253C0AA87F32F76764340CC63C3F9C04253C0A3115838767643405655462DB94253C0EE8C573876764340893056A4AE4253C059345738767643400C746A1EAC4253C030FDF42F767643407B42B51EAA4253C04001BC40767643402FC876ADA94253C0549D2D1F76764340A35E0638A94253C0D02F3F6D81764340
