objectid,fromdate,geography,latitude,longitude,address,ward_name,nbh_cluster_names,comp_plan_area,crash_type,crash_on_interstate,scanner_audio_missing,scanner_audio,crash_category,national_park,boundary_street
198359169,2021-02-26,0101000020E6100000FE8B2E2B314253C0300ABF30CF774340,38.936156,-77.034175,1443 PARKWOOD PLACE NW,Ward 1,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",MID-CITY,Cars Only,0,,,MPD Only,0,0
198351947,2021-02-06,0101000020E610000002F03C96F64153C03D61EE6412764340,38.922226,-77.030673,1312 CLIFTON STREET NW,Ward 1,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",MID-CITY,Cars Only,0,,,MPD Only,0,0
198357710,2021-02-22,0101000020E6100000748E91FB044153C09E84761FF5744340,38.913652,-77.015976,FLORIDA AVENUE NW,Ward 5,"Edgewood, Bloomingdale, Truxton Circle, Eckington",MID-CITY,Cars Only,0,,,MPD Only,0,0
198357758,2021-02-24,0101000020E6100000D53ABE13674153C0501B9EF878724340,38.894309,-77.021706,325 7TH STREET NW,Ward 2,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",CENTRAL WASHINGTON,Car/Pedestrian,0,,,MPD and DCFEMS,0,0
198353478,2021-02-08,0101000020E61000007C3424E0094153C0F4F6BF6FD0744340,38.912925,-77.016227,1700 4TH STREET NW,Ward 5,"Edgewood, Bloomingdale, Truxton Circle, Eckington",NEAR NORTHWEST,Cars Only,0,,,MPD Only,0,0
198357792,2021-02-24,0101000020E6100000E0FB701FCC4153C0301B6EDB12734340,38.899005,-77.028171,700 12TH STREET NW,Ward 2,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",CENTRAL WASHINGTON,Car/Pedestrian,0,,,MPD Only,0,0
198359332,2021-02-26,0101000020E61000006C3771949D4153C08805A0C76C784340,38.940812,-77.02524,GEORGIA AVENUE NW & TAYLOR STREET NW,Ward 4,"Brightwood Park, Crestwood, Petworth",ROCK CREEK EAST,Cars Only,0,,,MPD Only,0,0
198351914,2021-02-05,0101000020E6100000ED295AA1194053C0102BEAB72C744340,38.907607,-77.001562,320 FLORIDA AVENUE NE,Ward 5,"Ivy City, Arboretum, Trinidad, Carver Langston",CENTRAL WASHINGTON,Cars Only,0,,,MPD Only,0,0
198355820,2021-02-16,0101000020E6100000FC11A956104053C01CB8E8CE24744340,38.907437,-77.000945,350 FLORIDA AVENUE NE,Ward 6,"Union Station, Stanton Park, Kingman Park",CENTRAL WASHINGTON,Cars Only,0,,,MPD Only,0,0
198354889,2021-02-13,0101000020E610000092212E38503F53C07326B2B30F734340,38.898964,-76.989269,1227 G STREET NE,Ward 6,"Union Station, Stanton Park, Kingman Park",CAPITOL HILL,Cars Only,0,,,MPD Only,0,0
198357712,2021-02-21,0101000020E6100000431C36DB563F53C05404700A3A734340,38.900178,-76.989674,1207 H STREET NE,Ward 6,"Union Station, Stanton Park, Kingman Park",CAPITOL HILL,Cars Only,0,,,MPD Only,0,0
