anc_id,nbh_cluster,nbh_cluster_names,smd_id,ward_name,census_tract,comp_plan_area,charter_school,public_school,grades,school_name,es,ms,hs,geography
8D,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",8D06,Ward 8,009807,FAR SOUTHEAST AND SOUTHWEST,0,1,PK3-5th,Patterson Elementary School,1,0,0,0101000020E6100000D3DFF80C8B4053C00FF30647DA694340
4B,Cluster 17,"Takoma, Brightwood, Manor Park",4B04,Ward 4,001901,ROCK CREEK EAST,1,0,9th-12th,Paul PCS - International High School,0,0,1,0101000020E61000006DA0B519954153C0ED0E85440E7B4340
4B,Cluster 17,"Takoma, Brightwood, Manor Park",4B04,Ward 4,001901,ROCK CREEK EAST,1,0,6th-8th,Paul PCS - Middle School,0,1,0,0101000020E61000006DA0B519954153C0ED0E85440E7B4340
6B,Cluster 26,"Capitol Hill, Lincoln Park",6B06,Ward 6,006900,CAPITOL HILL,0,1,PK3-5th,Payne Elementary School,1,0,0,0101000020E6100000D259C4D3093F53C0C4970B8B4D714340
6C,Cluster 25,"Union Station, Stanton Park, Kingman Park",6C03,Ward 6,008200,CAPITOL HILL,0,1,PK3-KG,Peabody Elementary School,1,0,0,0101000020E6100000F988E1B5FD3F53C08800C5AB4A724340
5B,Cluster 22,"Brookland, Brentwood, Langdon",5B02,Ward 5,009400,UPPER NORTHEAST,1,0,PK3-8th,Perry Street Preparatory PCS,1,0,0,0101000020E61000004F5EA458A13E53C03DB50C31E9774340
5D,Cluster 23,"Ivy City, Arboretum, Trinidad, Carver Langston",5D04,Ward 5,008904,UPPER NORTHEAST,0,1,9th-12th,"Phelps Architecture, Construction, and Engineering High School",0,0,1,0101000020E610000009459D9B333E53C0B68807B874734340
7F,Cluster 33,"Capitol View, Marshall Heights, Benning Heights",7F03,Ward 7,009906,FAR NORTHEAST AND SOUTHEAST,0,1,PK3-5th,Plummer Elementary School,1,0,0,0101000020E6100000C5A737ED273C53C00473BD5491714340
4C,Cluster 18,"Brightwood Park, Crestwood, Petworth",4C05,Ward 4,002502,ROCK CREEK EAST,0,1,PK3-5th,Powell Elementary School,1,0,0,0101000020E61000000441E1AAFF4153C004C21C7184784340
7B,Cluster 34,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",7B04,Ward 7,007604,FAR NORTHEAST AND SOUTHEAST,0,1,PK3-5th,Randle Highlands Elementary School,1,0,0,0101000020E61000001C35E40CB83D53C0AA8AFD685F6F4340
4C,Cluster 18,"Brightwood Park, Crestwood, Petworth",4C06,Ward 4,002502,ROCK CREEK EAST,0,1,PK3-8th,Raymond Elementary School,1,0,0,0101000020E610000061522F1CB14153C0B62AF1E7C8774340
6D,Cluster 9,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",6D01,Ward 6,010200,CENTRAL WASHINGTON,1,0,8th-12th,Richard Wright PCS for Journalism and Media Arts,0,1,0,0101000020E610000077CC0234344153C07BA5215F2E714340
7D,Cluster 32,"River Terrace, Benning, Greenway, Dupont Park",7D04,Ward 7,009604,FAR NORTHEAST AND SOUTHEAST,0,1,SPED,River Terrace Education Campus,0,0,0,0101000020E6100000D17876B35F3D53C04DE6548797724340
5A,Cluster 19,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",5A08,Ward 5,009508,UPPER NORTHEAST,1,0,PK3-2nd,Rocketship Fort Totten,1,0,0,0101000020E61000004FD2AF842A4053C06BE57A822A7A4340
7E,Cluster 32,"River Terrace, Benning, Greenway, Dupont Park",7E02,Ward 7,009902,FAR NORTHEAST AND SOUTHEAST,1,0,PK3-5th,Rocketship Legacy Prep PCS,1,0,0,0101000020E610000009FF16DC2C3C53C0757684F85C6F4340
8B,Cluster 36,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",8B03,Ward 8,007408,FAR SOUTHEAST AND SOUTHWEST,1,0,PK3-4th,Rocketship Rise Academy PCS,1,0,0,0101000020E6100000ED71EA595F3E53C0DD5B6CF48A6D4340
7C,Cluster 31,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",7C07,Ward 7,007806,FAR NORTHEAST AND SOUTHEAST,0,1,9th-11th,Ron Brown College Preparatory High School,0,0,1,0101000020E6100000209A2B77B13B53C0CA61EC350A744340
4C,Cluster 18,"Brightwood Park, Crestwood, Petworth",4C05,Ward 4,002501,ROCK CREEK EAST,0,1,9th-12th,Roosevelt High School,0,0,1,0101000020E61000002FA3C772DE4153C09EDF0D89B5784340
4C,Cluster 18,"Brightwood Park, Crestwood, Petworth",4C05,Ward 4,002501,ROCK CREEK EAST,0,1,Adult,Roosevelt STAY High School ,0,0,1,0101000020E61000002FA3C772DE4153C09EDF0D89B5784340
4B,Cluster 17,"Takoma, Brightwood, Manor Park",4B08,Ward 4,002102,ROCK CREEK EAST,1,0,PK3-5th,Roots PCS,1,0,0,0101000020E6100000E3281FF3A84053C055D185C17A7A4340
2B,Cluster 6,"Dupont Circle, Connecticut Avenue/K Street",2B03,Ward 2,005301,NEAR NORTHWEST,0,1,PK3-5th,Ross Elementary School,1,0,0,0101000020E61000008F36ADDC894253C04AAF397AC9744340
8A,Cluster 37,"Sheridan, Barry Farm, Buena Vista",8A06,Ward 8,007401,FAR SOUTHEAST AND SOUTHWEST,0,1,PK3-5th,Savoy Elementary School,1,0,0,0101000020E610000011EAD63F973F53C04BAA8B2D726E4340
