comp_plan_area,geography,area_in_km2,area_in_m2,total_pop_2010,pct_white_2010,pct_black_2010,pct_hispanic_2010,pct_asian_2010,total_pop_2019,num_households,num_households_w_car,pct_households_w_car,fagi_per_capita_2015,daily_riders,num_peds_struck,num_peds_killed,peds_under_12,peds_over_65,peds_struck_by_oos_drivers,ped_strike_driver_ticketed,ped_strike_ped_ticketed,avg_aadt_ped_accidents,avg_road_width_ped_accidents,avg_local_road_width_ped_accidents,avg_arterial_road_width_ped_accidents,avg_speed_limit_ped_accidents,peds_struck_near_schools,peds_struck_on_local_roads,peds_struck_on_local_roads_outside_intersections,peds_struck_on_local_roads_at_arterial_intersections,peds_struck_on_local_roads_at_local_intersections,peds_struck_on_collectors,peds_struck_on_collectors_outside_intersections,peds_struck_on_collectors_at_arterial_intersections,peds_struck_on_minor_arterials,peds_struck_on_principal_arterials,peds_struck_on_any_arterial,peds_struck_on_any_arterial_outside_intersections,num_bicyclists_struck,num_bicyclists_killed,bikers_under_18,bikers_over_65,bikers_struck_by_oos_drivers,bike_strike_driver_ticketed,bike_strike_biker_ticketed,avg_aadt_bike_accidents,avg_road_width_bike_accidents,avg_local_road_width_bike_accidents,avg_arterial_road_width_bike_accidents,avg_speed_limit_bike_accidents,bikers_struck_near_schools,bikers_struck_on_local_roads,bikers_struck_on_local_roads_outside_intersections,bikers_struck_on_local_roads_at_arterial_intersections,bikers_struck_on_local_roads_at_local_intersections,bikers_struck_on_collectors,bikers_struck_on_collectors_outside_intersections,bikers_struck_on_collectors_at_arterial_intersections,bikers_struck_on_minor_arterials,bikers_struck_on_principal_arterials,bikers_struck_on_any_arterial,bikers_struck_on_any_arterial_outside_intersections,num_311_requests,num_311_requests_granted,total_road_km,avg_aadt,avg_road_width,avg_local_road_width,avg_collector_road_width,avg_minor_arterial_road_width,avg_major_arterial_road_width,avg_arterial_road_width,avg_speed_limit,avg_local_road_speed_limit,avg_collector_road_speed_limit,avg_minor_arterial_road_speed_limit,avg_major_arterial_road_speed_limit,avg_arterial_road_speed_limit,avg_block_len_meters,local_blocks_km,collector_blocks_km,minor_arterial_blocks_km,principal_arterial_blocks_km,arterial_blocks_km
CAPITOL HILL,0103000020E610000001000000300000002EB0BEEBCF3E53C01BDC43CF5D704340ACDBEB69C03E53C0D424268A6870434044D397D1983E53C0CAD4772F4170434093F2057C4D3E53C0C8F72EF366704340D21A2E27373E53C0A1A7E8ED8A7043409C2CF0562C3E53C0DBAB52D6B8704340AE2677070E3E53C00E5A9F39FB704340E6C282E8DF3D53C0E950B0A24F71434059277C16A83D53C044042E17E57143400494F2A1A13D53C0E79A44382172434020C3272F8F3D53C07CAE117299724340467D5F6E8D3D53C09261E2F9C77243407787C25E903D53C009B3B3F3D3724340B985DAA80C3E53C06C2BF74AEA724340A1F047B61A3E53C0CFFD74E2EE724340DCAFD5621D3E53C09B2D8024ED72434040BBD957DF3E53C0782BE7373573434074D81404FA3E53C06205F41D37734340C67E9CD1094053C0D03EB1C41F744340507B8ED1094053C0C29CF10AED73434086E803DA204053C0F9E8CF0AED7343409BF2F310224053C0D66A55BA86734340638EE94E3A4053C089B008BA867343403F636D16394053C0E00C4CF5D2714340C463530F224053C01AFB93F5D2714340034C31A21F4053C09489B6E89D714340931ECA4B3A4053C0025D64E89D7143400C87C615394053C0AE3F88BF6A714340082B33F67C4053C029EBE0BD6A714340990640E6764053C07D21F3884A7143408F08FCFD934053C08D439DA248714340AA5608FD934053C0D137F6E60D714340A3E58714614053C05E9CA1E80D714340A7BF2BDE5F4053C00F63B547D1704340A27962925D4053C0E98FC254C1704340B47D24894A4053C0C096043BC070434010A8854B324053C018486C3BC0704340896185431B4053C0822F7F12B170434056753EF0E53F53C0267DC1A6947043408442C360BD3F53C071C5227C80704340168D904F8D3F53C036F741516A7043405C47CDD96F3F53C0B4B7921D5C70434058A6A6844D3F53C0E3A294CB4A704340D1EA232C2F3F53C020F8C017417043401B0A9A41153F53C076E24A0C40704340C0A955FFFD3E53C039CA733C457043404A76FB2FE53E53C0C7BA319E4F7043402EB0BEEBCF3E53C01BDC43CF5D704340,8.530499753041386,8530499.753041387,53035,0.50361082304138776280,0.39686999151503723956,0.04661072876402375790,0.02339964174601678137,51698,20259,15790,0.77940668344933116146,45966.000541607025,28383.00,446,2,40,38,188,188,0,15781.940000000000,49.6421568627450980,32.1388888888888889,65.8860103626943005,23.5171568627450980,145,118,72,17,46,118,58,20,65,139,204,114,261,2,25,6,118,96,0,14011.106382978723,47.7674418604651163,32.1857142857142857,64.3669724770642202,23.2945736434108527,81,71,41,5,30,80,39,9,34,75,109,63,1712,167,120.50783601389487,9119.5662650602409639,37.1029126213592233,31.9060150375939850,36.0821428571428571,44.4812030075187970,61.7738095238095238,51.1751152073732719,21.9436345966958212,20.6967984934086629,22.2678571428571429,23.6466165413533835,26.0714285714285714,24.5852534562211982,116.99789904261642,63.019705059543945,30.11485770312704,14.59573817135737,11.753100362256202,26.348838533613574
CENTRAL WASHINGTON,0103000020E610000001000000D7000000DFFED4E12A4053C0AE075C103C744340DC1ED5C54C4053C0A713FCF358744340023C589D4E4053C062E691865A744340142DB80D934053C0961177F290744340DE15E147944053C05ED8059A267443408E49CE47944053C0F78FDB1422744340FD11ADAC554153C052ECAE0DA0734340A1A83CA5654153C0ECB9F5F0947343404EAB2F3E674153C06B6C5121207443408E7E2B68884153C0FDC8BA0A24744340A8E06E6D894153C0C485DE18947343403CD2832E944253C04572BBF35074434064ADC395A94253C0F24EF61860744340634ACB38B04253C0CE3080AC65744340A2005FA4BF4253C03F84C7AA5574434003136565C94253C0BB4F13185C7443405D49FAD7CF4253C06883AC5860744340E7D67BABFC4253C060CAE8C9FD734340EF96279EFC4253C0812937A35E734340A7CE3C7BC84253C07FF3D1AD3A734340FF037270C84253C068A4D65EB07243408AC886E06A4353C0516D593CB0724340A042EDD4644353C07E6E6FD1DB724340B635B2C6864353C0005A7AADDD7243406027B50D8E4353C04D9BB6ABDD724340C371DE079F4353C0EB8D5F7FF27243406FBFB639A04353C042222272BD724340F52E5234A04353C06FF2306588724340584B74B3974353C0B95CE8B85E724340E7B7696A904353C025C9EEE249724340893136F5EE4353C09FCE24442F7243407B2620420D4453C022F25DDD237243405557D589234453C03164E1F3257243408877716E204453C0C76B67E21272434060B8A2151F4453C0B4908DF80F724340DFED9A381B4453C08EB657FB07724340B73C0CC8164453C04A866BE2F67143405AABB2EC184453C0A82174ABEB71434041E1A9571B4453C0FDAEF9D1E77143402A4C02621D4453C0E8E42430E4714340C33AF2F71E4453C010828039E0714340258FFA771F4453C08B6E97FDDC7143406F10452D1F4453C0EA881501D77143403E9A6D631E4453C06108DF0ECF7143405C61AA731C4453C03E803720C0714340E4901F9B1B4453C086384DE3BB714340F9FD2AE7194453C0B098E67DB4714340D03FFF04184453C01C15D290B27143403D561D8B164453C0CAA175B5B07143409EC0A31E154453C05F50114CAD714340037273C0114453C09F85F350A47143400F17F05F084453C02CBF9B878A71434011039754064453C0AF145DBE847143403176D97E024453C00BC1815E79714340046774A9014453C0FDBA824D76714340433C8882FF4353C08CF048406D714340AA325FEBFD4353C0F0D96E3A6671434094FED146FC4353C04E1987E960714340864E5A0EF24353C0EE1DB0C046714340F6FF4204E94353C0558FBECB2D71434048E23F0DE54353C0F3CA2EA32171434029FB5488DE4353C06B2BB27209714340C3F5C617D64353C0F962668AEA704340160C1112D54353C05523A5FEE6704340309DF61CD44353C0F63E4FB0E3704340F14FC929D24353C019C38840DD704340FCC37954C94353C0DA125CF8C170434043241E33C64353C078DEE2D8BA704340099194EFC44353C025CB8F8FB87043404C9BFB95C24353C02FAD55CAB47043400737F3B6C04353C0D6614F87B3704340717ED5C5BE4353C041437038B27043408A99C821B64353C009703A3EAD704340C59D289BB34353C097F0946BAC704340091A66AFB04353C004AA0171AC704340120A7D33AE4353C0489EBFDAAC704340E3B3F124A54353C0A47AE748AF7043405F55A022A24353C0FA9BAEF3AF70434046371A0E9D4353C01FE289EAB0704340A883E3FB9A4353C0397C8422B1704340197645C2964353C0527F17ECB0704340490FAEC9944353C0739F23AFB07043404C7C3B4F894353C09567B165AD704340AE54F3CF844353C09F29AE20AB70434016136DAB824353C022005679A9704340490DC574804353C01DF1CCC3A770434004B1F0B67E4353C0C86957D4A5704340FF1238357B4353C02ACC1D3DA17043400E369757794353C0CFD81D5F9E7043402F022913774353C0F8EAD1A69A7043402A404726754353C0254EE17B967043402412B41C734353C0F499D801927043402088B2A7704353C058E10DC68B704340B977437F6F4353C0E3BB120B88704340285DAEAC6E4353C00B9F1AD081704340D23AF49C694353C0721B548B757043406D735047654353C064C97B086C704340FECDA1E8634353C031E15D9969704340243931A0604353C01070539C6370434091A06EFF5D4353C0CEE6B80B5E7043409E6E5D2C504353C06F8590253F7043400DBBEB504C4353C0BFFDD87F33704340ADE9AEEE4A4353C0110BB35F2B704340DA6A7A844A4353C02081770826704340BC82E2A94A4353C0C9FC2D4D22704340A6ECF7734B4353C0B3B89D831E704340B32D72E94B4353C073CA7B111B704340936865DD4C4353C00C3B22AB12704340413F3F164E4353C0AD4C5E4304704340E13402874E4353C032A95BFBFE6F43404BD8452C4F4353C0A420EC1FF56F4340982AEA074F4353C03983C8D1E36F4340F461DEF64E4353C020D5D54DDF6F4340B1302ABD4E4353C0B0B862BEDB6F43407C8262C64D4353C014E40AAFD56F4340032B6F214D4353C07B11EC34D26F4340A88F391A4C4353C0AB5FA443CE6F434008C51D194B4353C03B397C6DCA6F4340076A8CF23E4353C004EA8E40A36F4340EF8692B93D4353C0533396E79F6F4340C45F157C3C4353C0B5C77FE29C6F4340D380E348394353C041EBBA9F966F4340BE55773C374353C0E124EF60936F43407CFD2D36354353C00CA69E2A916F43408A9CE829334353C0B4C4C00A8F6F434052215EB5304353C04D3916BE8C6F4340069FCDC52E4353C012BCFD188B6F4340180F17802C4353C0BED96C3C896F43402AD66A5F294353C02CD45C41876F4340773C60CE264353C016AEAD46876F434023E7165D244353C048E6E34B876F4340067BCEA1214353C017FC9CE3876F4340E91EC0D31F4353C0E6F59DAA896F43400D5CEF201C4353C0D9FE61BC8B6F4340B1FF00D7194353C0421823058D6F43409A5F774B124353C097A6E486906F4340619CC54D0F4353C0BA9C00B7916F4340F8D502FA094353C07E1F19A2936F434061B84AF6064353C04AD0A379946F43409D9F2FDB004353C0CEC5FFCD966F434043E751E4FE4253C0381520EC976F43404B5AD41DFD4253C0448CB21F9A6F43400F280868FB4253C01970EE8B9C6F434074753559F94253C059D1B634A06F4340A61DA7C4F74253C0185E0817A36F4340938A55A1F64253C07E1F66E0A56F434024DA816AF54253C0E21FCD7AA96F4340197B67C8F54253C0AB722EC8AC6F43407F9D17D4F64253C0B1A74170B06F43401444E7F7F74253C08DEC0A23B46F43400E849179F94253C03670C801BA6F434040030A29FA4253C0195F1B1BBD6F43404E2EEF7AFA4253C096D8BF5BC16F4340EC82256CFA4253C0A27C21DDC46F4340A1F308E3F94253C074488F15C96F434070F21AE1F84253C0EF1B4189CD6F43400B56BCC8F74253C070188C2CD46F43403A2A56CFF74253C05414ECE4DA6F4340EA5C6C01F84253C082A123F0DD6F4340290B11FDF94253C0DDFE556EDF6F43408E620286FB4253C0A3E4070FE26F434034A8777A024353C01B33A09AEF6F4340AC4D3E1A044353C0A72FE91BF46F4340AF0498B7044353C020D7242EF76F434099236E0C054353C02F88691FFA6F4340AEFCE26E054353C0D523F281FD6F43408C7DD4AD044353C07E66CAE400704340D8C269BF034353C0E8A0A6760370434086484924FF4253C054D04B1E0A704340A0AEFC66F94253C0A1D7EC910F7043403268875FF74253C0D42E887011704340049FFC98F54253C0163DD8BD1270434079EDB6BBF34253C0D76DCE51137043409141CACDF14253C04859369A137043409764DB0AEF4253C0C41C326913704340415332BFEC4253C03576D35E12704340F074DC24EA4253C080DC78BF0F7043404C8C6950E84253C07089DCAE0D704340C82013A8E34253C0615363BC06704340ADA51584E04253C0E04238B701704340BF5EE51ADF4253C0B0AFA0A0FF6F434029AED1C2D04253C0A74E4259EB6F43404725A6E5CB4253C0C89E3C8AE46F4340198BA5E1844253C078600BCE7B704340186E27DB6D4253C043436CC48E7043402DCCDED4564253C086ED2EC88E704340E5C12EBD394253C0BBCFC03887704340C6890E4A204253C077E88B3C877043403316F31C0E4253C08966674C987043401FE2BFABF44153C054B1A04FBC704340EFEC017FE24153C01172C4BDD8704340B53BBE88D14153C07FDBDFE7E7704340721C1033C44153C01F4C7D7DEF704340285424C7994153C07AA0F94CF3704340A8E79296C84053C065FD0E5EF370434082C30978944053C0AF74ABF4D6704340B52188416B4053C0E43D4F1EC2704340A27962925D4053C0E98FC254C1704340A7BF2BDE5F4053C00F63B547D1704340A3E58714614053C05E9CA1E80D714340AA5608FD934053C0D137F6E60D7143408F08FCFD934053C08D439DA248714340990640E6764053C07D21F3884A714340082B33F67C4053C029EBE0BD6A7143400C87C615394053C0AE3F88BF6A714340931ECA4B3A4053C0025D64E89D714340034C31A21F4053C09489B6E89D714340C463530F224053C01AFB93F5D27143403F636D16394053C0E00C4CF5D2714340638EE94E3A4053C089B008BA867343409BF2F310224053C0D66A55BA8673434086E803DA204053C0F9E8CF0AED734340507B8ED1094053C0C29CF10AED734340C67E9CD1094053C0D03EB1C41F744340DFFED4E12A4053C0AE075C103C744340,13.298979716180801,13298979.716180801,15510,0.46299161831076724694,0.34970986460348162476,0.06666666666666666667,0.13694390715667311412,31786,17004,8995,0.52899317807574688309,39399.060970238470,207052.00,1325,12,26,77,793,584,4,18772.575993091537,56.2233870967741935,38.2560975609756098,60.5157232704402516,21.9030154849225754,178,87,51,24,36,207,110,50,448,555,1003,487,937,1,41,20,559,417,0,17225.848101265823,57.2636761487964989,36.9333333333333333,61.4859154929577465,21.8667400881057269,119,46,19,18,27,161,98,28,348,368,716,371,1710,110,150.90577874109897,18269.735602094241,50.5230934479054780,35.8203592814371257,44.1720930232558140,54.0745614035087719,61.7993197278911565,58.4252873563218391,21.5522875816993464,20.2215189873417722,20.5813953488372093,21.5859030837004405,22.3195876288659794,21.9980694980694981,162.08998790665842,29.98656167185358,28.328633013505574,28.001968587447642,43.724229393953436,71.72619798140107
FAR NORTHEAST AND SOUTHEAST,0103000020E6100000010000003D00000044D397D1983E53C0CAD4772F4170434046FC7FC25F3E53C0336A73B708704340A08AFF6C603E53C0DE98A556087043408163E9B2663E53C0DE5D1EFA02704340DFEF47EFB03E53C0DB590F88C36F4340760D9B10C23E53C00B3EA1E4B46F434077B4C39FC93E53C0BC329BC8AD6F434084EF1286203F53C048B13BCB586F4340C79D3AD72D3F53C07AE75719516F43400C6223BC2D3F53C02C417BDF4B6F4340E1EDE4F32B3F53C027E43C020F6F43408C769421083F53C0F084A2FEFD6E43406AF4C1C7043F53C0D1170667FC6E4340A39DD2E1FA3E53C0130F967EEF6E4340060AF1A0F83E53C0E725828FEC6E4340AFDA427B873E53C0598B5B7CB76E43406561955F1F3E53C0F36D5DAC5C6E434091EC379C143E53C095D956284E6E4340D972A9D3083E53C0003D17433E6E434098B30883F73D53C096F2BBE7266E43403FA7C401F73D53C03FF1C69F1C6E43404A11777BF63D53C03144EDB0E56D43401770F3C3F33D53C0B679B956DA6D4340D0231C31F23D53C0047BFAC3D36D434083A81177F03D53C0971B008DCC6D4340574858EFEC3D53C0469E67D2BD6D4340AFB4152ABD3D53C07E2A18314B6D43405053F12C963D53C09729B667046D43407C5777832F3A53C05B497D934B724340ADF1B0A8C63B53C03FE02E35C9744340D51E1DA0473C53C04858D41093754340F6F7E893513C53C0B9A989328175434015B8D808593C53C0336A77A56D754340AA7999E5633C53C057F9C36D607543403CC80D808A3C53C0B243E53E277543407BB889E49F3C53C0CA268C251E754340F1CE5FB8EB3C53C0690AFC2F1C754340AD0BE83BFC3C53C09F689B5318754340EF80014E063D53C026679DF808754340D07883820B3D53C00BF18A23C67443406C1AE3E3153D53C0FC1F16999A74434005D52F82243D53C079902D0A747443406C1525C8393D53C0C7A50BED3B744340F0BF6EA4503D53C044D226E6F6734340372C21AD563D53C0A4DA088FDA734340AACA9B98653D53C053F0895BA573434047BDF3BF7A3D53C026005DCE6B73434022DA1FC4913D53C001D4933C37734340A6DB0903953D53C0AD797FFC22734340C061B476943D53C0E40E0E47057343407787C25E903D53C009B3B3F3D3724340467D5F6E8D3D53C09261E2F9C772434020C3272F8F3D53C07CAE1172997243400494F2A1A13D53C0E79A44382172434059277C16A83D53C044042E17E5714340E6C282E8DF3D53C0E950B0A24F714340AE2677070E3E53C00E5A9F39FB7043409C2CF0562C3E53C0DBAB52D6B8704340D21A2E27373E53C0A1A7E8ED8A70434093F2057C4D3E53C0C8F72EF36670434044D397D1983E53C0CAD4772F41704340,22.053604607103587,22053604.607103586,74022,0.01350949717651509011,0.94101753532733511659,0.02191240442030747616,0.00198589608494771825,86559,33767,20622,0.61071460301477774158,15523.556025369979,5956.50,740,9,91,32,316,251,1,17830.389010989011,43.7766116941529235,32.2311320754716981,50.4408866995073892,24.1679160419790105,172,237,176,10,59,50,33,6,297,130,427,251,155,1,33,5,58,55,0,16419.654205607477,44.3809523809523810,32.2500000000000000,50.4631578947368421,24.4557823129251701,26,42,24,7,18,12,6,2,73,24,97,52,1834,205,259.31137823829135,13514.813725490196,34.7670454545454545,31.5483870967741935,36.2318840579710145,42.4459930313588850,61.3500000000000000,46.5667574931880109,21.8788819875776398,20.8678847505270555,21.7753623188405797,24.6341463414634146,28.8607594936708861,25.5464480874316940,133.9418276024229,187.32557177859118,16.19202678124388,31.119730063413666,11.132568759865483,42.25229882327914
