,tweet,lat,lng,sentiment
63,"Robbery in the 5700 block of Connecticut Ave NW.  LOF a B/M wearing all black 
DO NOT TAKE ACTION CALL 911 W/ EVEN https://t.co/L71uazsLAx",38.9661415,-77.07657999999999,-0.033333333333333326
64,"MPD reports a multiple vehicle traffic crash inbound 12th Street Tunnel NW.  The far right lane is open, all other  https://t.co/lUhcuWodOj",38.8897785,-77.0280618,0.06517857142857142
65,Metro reports the Ft Totten Station is closed for safety precautions.  Shuttle buses requested.  Updates to follow. https://t.co/X3oeeO959d,38.9518011,-77.0021518,-0.1
66,DC Water reports V Street NE is closed between Rhode Island Avenue and 2nd Street NE for water service repairs. Dur https://t.co/8MxnXGD9jv,38.9181086,-77.0000359,-0.05
67,DC Water reports a road closure in the 1400 block of Howard Rd SE due to sewer repairs. Estimated repair time is 8  https://t.co/MoPufEkJOw,38.8602672,-76.9901933,-0.125
68,"The National Weather Service (NWS) has issued a Coastal Flood Advisory for the District of Columbia until 11AM. 

W https://t.co/9cSKxDgHk6",38.9071923,-77.0368707,0.0
69,"Stabbings at the intersection of 16th Street SE and Good Hope Road SE. No Lookout
DO NOT TAKE ACTION CALL 911 W/  https://t.co/1PzdE5DGtg",38.8661924,-76.9819241,0.7999999999999999
70,"Robbery Gun in the 1800  block of 18th Street NW. Possible Suspect stopped. 
DO NOT TAKE ACTION CALL 911 W/ EVENT  https://t.co/75og8Swwk0",38.9143088,-77.0419234,0.1
71,"MPD reports the police activity has cleared and the 3500 block of 22nd Street, SE between Southern Avenue and Savan https://t.co/BHQMrjtyhp",38.8459844,-76.97248669999999,0.0
72,"DC Water reports the 1200 block of of North Capitol Street, NW between New York Avenue and M Street is now open to  https://t.co/yk794lp3T4",38.9061827,-77.0099618,0.06818181818181818
73,"Robbery in the 3100 block of Stanton Road S.E.. Lookout for Black/Male, 20's, 5'11, black hooded sweatshirt, face https://t.co/Skyx5rBxm1",38.8517641,-76.9833999,-0.16666666666666666
74,MPD reports a road closure in the 3500 block of 22nd St SE between Southern Ave and Savannah St SE due to police ac https://t.co/1L2M7mbZjV,38.8493164,-76.9742018,-0.0625
75,"MPD reports additional road closures. At this time, 42nd Street to 46th Street NE between Edson Place and Gault Pla https://t.co/yUuZnkK5lh",38.9017236,-76.9365799,0.0
76,"MPD reports 44th Street, NE between Gault Place and Foote Street NE is closed in both directions due to police acti https://t.co/v2M9Qe8hQr",38.90056,-76.939189,-0.1125
77,"Robbery Snatch in the 1300 block of U Street, NW.  Lookout for Suspect is a B/M 30 years of age, skinny build, bla https://t.co/VsZ0nRc0Ff",38.9168818,-77.0316668,0.0
78,MPD reports the traffic crash at South Capitol Street and Firth Sterling Avenue SE is clear and all associated road https://t.co/YWb52rTjs2,38.860648,-77.00353369999999,0.10000000000000002
79,"MPD reports the Northbound lanes of South Capitol Street SE, near the intersection of Firth Sterling Avenue, is clo https://t.co/ktgjCKFEf5",38.860516,-77.003421,0.1
80,"Shooting Investigation at  0637 hrs in the 3800 block Minnesota, Ave, NE. Lookout for 2 B/M's, both wearing light  https://t.co/G0Chp3LudE",38.8922792,-76.9512651,0.4
81,"DC Water reports the 1200 block of North Capitol Street, NW between New York Avenue and M Street will remain closed https://t.co/x4SV7DkUug",38.9061827,-77.0099618,0.018181818181818174
82,"MPD is on the scene of a confirmed shooting at 5th and K ST NE.  Lookout for a person of unknown sex and race, 5'3 https://t.co/ZxsZ2JFPOF",38.9025091,-76.999509,0.30000000000000004
83,MPD reports the demonstration activity has concluded and the 2200 block of Wisconsin Avenue NW is now open to traff https://t.co/pPpTwzsYo8,38.9191704,-77.0709494,0.0
