near_schools,es,ms,hs,public_school,charter_school,anc_id,nbh_cluster,nbh_cluster_names,smd_id,ward_name,census_tract,comp_plan_area,intersectionid,intersection_type,geography,street_names,int_road_types,int_road_block_ids
[None],,,,,,1A,Cluster 18,"Brightwood Park, Crestwood, Petworth",1A01,Ward 1,002502,MID-CITY,16094,REGULAR,0101000020E610000044AB1F4A184253C0361AB56FF2774340,"['14TH STREET NW', 'SPRING ROAD NW']","['Collector', 'Minor Arterial']","['125350', '128830', '130505', '131580']"
[None],,,,,,1A,Cluster 18,"Brightwood Park, Crestwood, Petworth",1A01,Ward 1,002801,MID-CITY,19348,REGULAR,0101000020E61000000F6B4887284253C0F7F6262DFB774340,"['SPRING PLACE NW', 'SPRING ROAD NW']","['Collector', 'Local']","['130505', '133461', '134066']"
[None],,,,,,1A,Cluster 18,"Brightwood Park, Crestwood, Petworth",1A04,Ward 1,002900,MID-CITY,14817,REGULAR,0101000020E610000029B7520DE74153C09F54B16FD8774340,"['13TH STREET NW', 'SPRING ROAD NW']","['Collector', 'Minor Arterial']","['126823', '129476', '134385', '134663']"
"['E.L. Haynes PCS - Middle School', 'Raymond Elementary School']",1.0,0.0,0.0,1.0,1.0,1A,Cluster 18,"Brightwood Park, Crestwood, Petworth",1A07,Ward 1,002900,MID-CITY,15018,REGULAR,0101000020E610000091756744A84153C0612FE9C7B6774340,"['ROCK CREEK CHURCH ROAD NW', 'SPRING ROAD NW']","['Collector', 'Local']","['130150', '132832', '134434', '134651']"
['Raymond Elementary School'],1.0,0.0,0.0,1.0,0.0,1A,Cluster 18,"Brightwood Park, Crestwood, Petworth",1A07,Ward 1,002900,MID-CITY,17619,REGULAR,0101000020E61000003F5273AEBD4153C08A619E9AC2774340,"['10TH STREET NW', 'SPRING ROAD NW']","['Collector', 'Local']","['127458', '129318', '131984', '132832']"
['Raymond Elementary School'],1.0,0.0,0.0,1.0,0.0,1A,Cluster 18,"Brightwood Park, Crestwood, Petworth",1A07,Ward 1,002900,MID-CITY,19385,REGULAR,0101000020E610000033F7E2E3D24153C0BEB584E8CD774340,"['11TH STREET NW', 'SPRING ROAD NW']","['Collector', 'Local']","['126046', '131984', '134385']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A01,Ward 1,002801,MID-CITY,13053,REGULAR,0101000020E6100000E85EF8824F4253C0F5FF44B7E8774340,"['OGDEN STREET NW', 'SPRING PLACE NW']",['Local'],"['126544', '130239', '130625']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A01,Ward 1,002801,MID-CITY,13054,REGULAR,0101000020E61000006278F439554253C0CB3FE05EE9774340,"['16TH STREET NW', 'SPRING PLACE NW']","['Local', 'Principal Arterial']","['127274', '127779', '130239']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A01,Ward 1,002801,MID-CITY,14616,REGULAR,0101000020E610000068225B53184253C02C56A4BCC1774340,"['14TH STREET NW', 'PARKWOOD PLACE NW']","['Local', 'Minor Arterial']","['128724', '128921', '131934']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A01,Ward 1,002801,MID-CITY,16478,REGULAR,0101000020E61000004D63F951184253C008A7C68791774340,"['14TH STREET NW', 'OAK STREET NW']","['Local', 'Minor Arterial']","['126445', '127178', '128311']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A01,Ward 1,002801,MID-CITY,16850,REGULAR,0101000020E61000002D13D84E184253C0AC1A2CBED7774340,"['14TH STREET NW', 'PERRY PLACE NW']","['Local', 'Minor Arterial']","['125350', '128921', '130075', '131018']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A01,Ward 1,002801,MID-CITY,18795,REGULAR,0101000020E61000007777841E354253C01324DDECD0774340,"['CENTER STREET NW', 'PARKWOOD PLACE NW']",['Local'],"['129186', '131934']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A01,Ward 1,002801,MID-CITY,19185,REGULAR,0101000020E61000004A1C6141344253C0666774B8E5774340,"['PERRY PLACE NW', 'SPRING PLACE NW']",['Local'],"['130625', '131018', '133461']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A01,Ward 1,002801,MID-CITY,19499,REGULAR,0101000020E6100000F85ABE86444253C090C17A6CD1774340,"['HERTFORD PLACE NW', 'OGDEN STREET NW']",['Local'],"['125683', '126544', '128228']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A01,Ward 1,002900,MID-CITY,14124,REGULAR,0101000020E610000023708354184253C0C2002846AC774340,"['14TH STREET NW', 'OTIS PLACE NW']","['Local', 'Minor Arterial']","['125014', '126202', '128165']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A01,Ward 1,002900,MID-CITY,14125,REGULAR,0101000020E6100000CB763455184253C019DF420AB8774340,['14TH STREET NW'],"['Local', 'Minor Arterial']","['125014', '128724', '131794']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A01,Ward 1,002900,MID-CITY,16501,REGULAR,0101000020E6100000EA1A4954184253C0FE99642AA0774340,['14TH STREET NW'],"['Local', 'Minor Arterial']","['127178', '128165', '128502']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A01,Ward 1,002900,MID-CITY,17915,REGULAR,0101000020E6100000DDDE9F4C184253C0D78309D188774340,['14TH STREET NW'],"['Local', 'Minor Arterial']","['125141', '127296', '128311']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A02,Ward 1,002801,MID-CITY,15798,REGULAR,0101000020E6100000F635BC943A4253C07380596FBE774340,"['CENTER STREET NW', 'OGDEN STREET NW', 'OTIS PLACE NW']",['Local'],"['126202', '128743', '129514', '129538']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A02,Ward 1,002801,MID-CITY,15799,REGULAR,0101000020E61000002BA6BAAB3C4253C0A4A7E16EC2774340,"['CENTER STREET NW', 'OGDEN STREET NW']",['Local'],"['128228', '128743', '129186']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A02,Ward 1,002801,MID-CITY,16266,REGULAR,0101000020E6100000571FDA09484253C033CB067391774340,"['CENTER STREET NW', 'MERIDIAN PLACE NW']",['Local'],"['126297', '126502', '128238']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A02,Ward 1,002801,MID-CITY,16479,REGULAR,0101000020E61000000F187F86204253C036F5E73592774340,"['OAK STREET NW', 'OGDEN STREET NW']",['Local'],"['126445', '126686', '126723', '129514']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A02,Ward 1,002801,MID-CITY,16860,REGULAR,0101000020E610000029718D75514253C047EEF540AA774340,"['HERTFORD PLACE NW', 'OAK STREET NW']",['Local'],"['125476', '125683', '128231']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A02,Ward 1,002801,MID-CITY,17153,REGULAR,0101000020E61000006AE27D88434253C0A0FF9B719F774340,"['CENTER STREET NW', 'OAK STREET NW']",['Local'],"['125476', '126297', '128409']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A02,Ward 1,002801,MID-CITY,19105,REGULAR,0101000020E61000005367DA5A424253C01E4CFA0DA3774340,"['CENTER STREET NW', 'OAK STREET NW']",['Local'],"['126723', '128409', '129538']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A02,Ward 1,002801,MID-CITY,8211,REGULAR,0101000020E610000018EB2A4F184253C00DB4E73C72774340,['14TH STREET NW'],"['Local', 'Minor Arterial']","['127082', '128992', '129934']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A02,Ward 1,002900,MID-CITY,14630,REGULAR,0101000020E610000055339755184253C0D7E6D7D35B774340,['14TH STREET NW'],"['Local', 'Minor Arterial']","['126167', '126413', '129934']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A02,Ward 1,002900,MID-CITY,17594,REGULAR,0101000020E6100000BAA43149184253C02880C6D47F774340,"['14TH STREET NW', 'OGDEN STREET NW']","['Local', 'Minor Arterial']","['126465', '126686', '127296']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A02,Ward 1,002900,MID-CITY,19727,REGULAR,0101000020E6100000538744CCF94153C07A6CC6264B774340,"['HOLMEAD PLACE NW', 'MONROE STREET NW']","['Collector', 'Local']","['125331', '126148', '128614', '128991']"
['The Next Step/ El Prόximo Paso PCS'],0.0,0.0,1.0,0.0,1.0,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A03,Ward 1,002802,MID-CITY,15148,REGULAR,0101000020E610000087677B12464253C09FDF07D4A9764340,"['15TH STREET NW', 'COLUMBIA ROAD NW']",['Minor Arterial'],"['126496', '126734', '128494', '129787']"
"['Columbia Heights Education Campus 6–8 (CHEC)', 'Columbia Heights Education Campus 9–12 (CHEC)', 'The Next Step/ El Prόximo Paso PCS']",0.0,1.0,1.0,1.0,1.0,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A03,Ward 1,002802,MID-CITY,15149,REGULAR,0101000020E6100000DE521317514253C048DC6113DF764340,"['15TH STREET NW', 'IRVING STREET NW']",['Minor Arterial'],"['126215', '126734', '128327', '129198']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A03,Ward 1,002802,MID-CITY,17763,REGULAR,0101000020E6100000DC8446D4164253C0C9520964E3764340,"['14TH STREET NW', 'IRVING STREET NW']",['Minor Arterial'],"['125096', '125208', '125614', '126038']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A03,Ward 1,002802,MID-CITY,19158,REGULAR,0101000020E6100000223915C9144253C0CE4319D5B9764340,"['14TH STREET NW', 'COLUMBIA ROAD NW']",['Minor Arterial'],"['125096', '127251', '128201', '129787']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A04,Ward 1,002801,MID-CITY,17593,REGULAR,0101000020E61000007190734A184253C09391B0887C774340,"['14TH STREET NW', 'MERIDIAN PLACE NW']","['Local', 'Minor Arterial']","['126465', '127082', '128238']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A04,Ward 1,002900,MID-CITY,14709,REGULAR,0101000020E6100000F77225C9E64153C08827DCDA35774340,"['13TH STREET NW', 'PARK ROAD NW']","['Collector', 'Minor Arterial']","['127898', '128393', '131478', '132814']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A04,Ward 1,002900,MID-CITY,15524,REGULAR,0101000020E6100000F6A3BBF8EB4153C06DEF4929DB774340,"['KANSAS AVENUE NW', 'SPRING ROAD NW']",['Collector'],"['129465', '133708', '134663']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A04,Ward 1,002900,MID-CITY,17869,REGULAR,0101000020E61000002325AAF1E64153C04BCCD8F257774340,"['13TH STREET NW', 'MONROE STREET NW']","['Collector', 'Minor Arterial']","['125303', '125331', '126650', '127898']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A04,Ward 1,002900,MID-CITY,17870,REGULAR,0101000020E6100000124A6B16E74153C015354443A0774340,"['13TH STREET NW', 'OTIS PLACE NW']","['Local', 'Minor Arterial']","['125362', '126650', '128591', '129476']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A04,Ward 1,002900,MID-CITY,19292,REGULAR,0101000020E61000009EF7C5C1F94153C042A3B306C8774340,"['HOLMEAD PLACE NW', 'PERRY PLACE NW']",['Local'],"['127102', '127253', '130075']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A04,Ward 1,002900,MID-CITY,19293,REGULAR,0101000020E6100000304088BCF94153C05333B304B8774340,"['HOLMEAD PLACE NW', 'PARKWOOD PLACE NW']",['Local'],"['127253', '127775', '131794']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A04,Ward 1,002900,MID-CITY,19294,REGULAR,0101000020E61000002B31C2C8F94153C0C973B737A0774340,"['HOLMEAD PLACE NW', 'OTIS PLACE NW']",['Local'],"['125362', '127775', '128116', '128502']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A04,Ward 1,002900,MID-CITY,19562,REGULAR,0101000020E61000009632A5BFF94153C0338D03CC5B774340,"['HOLMEAD PLACE NW', 'NEWTON STREET NW']",['Local'],"['125110', '126148', '126413']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A04,Ward 1,002900,MID-CITY,19563,REGULAR,0101000020E6100000CBCC72BFF94153C0DBCA806E72774340,"['HOLMEAD PLACE NW', 'MERIDIAN PLACE NW']",['Local'],"['125110', '128852', '128992']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A04,Ward 1,002900,MID-CITY,19726,REGULAR,0101000020E6100000C5A1D9CAF94153C0283055DB88774340,"['HOLMEAD PLACE NW', 'OAK STREET NW']",['Local'],"['125141', '128116', '128852']"
"['Columbia Heights Education Campus 6–8 (CHEC)', 'Columbia Heights Education Campus 9–12 (CHEC)', 'LAYC Career Academy PCS', 'The Family Place PCS', 'Youthbuild PCS']",0.0,1.0,1.0,1.0,1.0,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A05,Ward 1,002702,MID-CITY,14808,REGULAR,0101000020E6100000AF793D56554253C0AB80A6E21D774340,"['16TH STREET NW', 'PINE STREET NW']","['Local', 'Principal Arterial']","['125139', '125454', '130333']"
"['Columbia Heights Education Campus 6–8 (CHEC)', 'Columbia Heights Education Campus 9–12 (CHEC)', 'The Next Step/ El Prόximo Paso PCS']",0.0,1.0,1.0,1.0,1.0,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A05,Ward 1,002702,MID-CITY,15334,REGULAR,0101000020E61000004A2929AB554253C00518B17BDF764340,"['16TH STREET NW', 'IRVING STREET NW']","['Minor Arterial', 'Principal Arterial']","['127142', '127950', '128007', '129198']"
"['LAYC Career Academy PCS', 'The Family Place PCS', 'Youthbuild PCS']",0.0,0.0,1.0,0.0,1.0,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A05,Ward 1,002802,MID-CITY,13806,REGULAR,0101000020E61000009C567F5C554253C0AB30C7EB5F774340,"['16TH STREET NW', 'MONROE STREET NW']","['Local', 'Principal Arterial']","['125213', '126820', '128875', '129831']"
"['Columbia Heights Education Campus 6–8 (CHEC)', 'Columbia Heights Education Campus 9–12 (CHEC)', 'LAYC Career Academy PCS', 'The Family Place PCS', 'Youthbuild PCS']",0.0,1.0,1.0,1.0,1.0,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A05,Ward 1,002802,MID-CITY,14807,REGULAR,0101000020E6100000F9CDBD5B554253C0678A7C3F19774340,"['16TH STREET NW', 'LAMONT STREET NW']","['Local', 'Principal Arterial']","['125454', '127015', '127129', '128376']"
"['LAYC Career Academy PCS', 'The Family Place PCS', 'Youthbuild PCS']",0.0,0.0,1.0,0.0,1.0,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A05,Ward 1,002802,MID-CITY,16321,REGULAR,0101000020E6100000AFDE0FEC4C4253C0EE92303B3A774340,"['PARK ROAD NW', 'PINE STREET NW']","['Local', 'Minor Arterial']","['130333', '130971', '134213']"
"['Columbia Heights Education Campus 6–8 (CHEC)', 'Columbia Heights Education Campus 9–12 (CHEC)', 'The Next Step/ El Prόximo Paso PCS']",0.0,1.0,1.0,1.0,1.0,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A05,Ward 1,002802,MID-CITY,17764,REGULAR,0101000020E6100000D7D82B8B374253C0EAA8225FDF764340,"['HIATT PLACE NW', 'IRVING STREET NW']","['Local', 'Minor Arterial']","['125614', '127452', '128327']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A05,Ward 1,002802,MID-CITY,17922,REGULAR,0101000020E61000007CC6ED0E184253C0FDD7C55131774340,"['14TH STREET NW', 'MONROE STREET NW']","['Local', 'Minor Arterial']","['125213', '127847', '129857']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A05,Ward 1,002802,MID-CITY,17923,REGULAR,0101000020E61000008E092CF2174253C0CBFDE69D36774340,['14TH STREET NW'],"['Collector', 'Minor Arterial']","['126597', '128614', '129857']"
"['Columbia Heights Education Campus 6–8 (CHEC)', 'Columbia Heights Education Campus 9–12 (CHEC)', 'LAYC Career Academy PCS', 'The Family Place PCS', 'Youthbuild PCS']",0.0,1.0,1.0,1.0,1.0,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A05,Ward 1,002802,MID-CITY,18296,REGULAR,0101000020E610000067179C613B4253C08CE4BA9D2C774340,"['HIATT PLACE NW', 'PARK ROAD NW']","['Local', 'Minor Arterial']","['127452', '132087', '134213']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A05,Ward 1,002802,MID-CITY,18560,REGULAR,0101000020E6100000F80EDC96184253C06EE4A90E12774340,"['14TH STREET NW', 'KENYON STREET NW', 'PARK ROAD NW']","['Collector', 'Minor Arterial']","['126038', '127847', '128955', '130024', '132087']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A05,Ward 1,002900,MID-CITY,19124,REGULAR,0101000020E610000099B91D5D184253C0EFD072B747774340,"['14TH STREET NW', 'NEWTON STREET NW']","['Local', 'Minor Arterial']","['126167', '126597', '128139']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A05,Ward 1,003000,MID-CITY,14710,REGULAR,0101000020E610000057470B7BF94153C03826850929774340,"['HOLMEAD PLACE NW', 'PARK ROAD NW']","['Collector', 'Local']","['128991', '130024', '132814']"
"['Meridian Public Charter School - Middle School', 'Tubman Elementary School']",1.0,1.0,0.0,1.0,1.0,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A06,Ward 1,003000,MID-CITY,14352,REGULAR,0101000020E610000036E13DC3C24153C0E37AF80CE0764340,"['11TH STREET NW', 'IRVING STREET NW']","['Collector', 'Minor Arterial']","['126620', '126748', '126860', '126884']"
['Tubman Elementary School'],1.0,0.0,0.0,1.0,0.0,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A06,Ward 1,003000,MID-CITY,15005,REGULAR,0101000020E6100000C68A9EC9E64153C0F55D6B3DFF764340,"['13TH STREET NW', 'KENYON STREET NW']",['Minor Arterial'],"['125151', '125268', '127368', '128955']"
['Tubman Elementary School'],1.0,0.0,0.0,1.0,0.0,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A06,Ward 1,003000,MID-CITY,18320,REGULAR,0101000020E610000077BA1DC6E64153C0C0A2685221774340,"['13TH STREET NW', 'LAMONT STREET NW']","['Local', 'Minor Arterial']","['125151', '126246', '128393']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A06,Ward 1,003000,MID-CITY,19615,REGULAR,0101000020E61000007314DEA0CA4153C041EAC83D21774340,"['11TH STREET NW', 'LAMONT STREET NW']","['Collector', 'Local']","['125190', '125873', '126246', '128744']"
['Meridian Public Charter School - Middle School'],0.0,1.0,0.0,0.0,1.0,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A06,Ward 1,003100,MID-CITY,15571,REGULAR,0101000020E610000039F78D41B04153C012104D0004774340,"['KENYON STREET NW', 'SHERMAN AVENUE NW']",['Minor Arterial'],"['125980', '127857', '130672', '131824']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A07,Ward 1,002900,MID-CITY,14107,REGULAR,0101000020E610000024979239C54153C05069463D69774340,"['10TH STREET NW', 'MONROE STREET NW']","['Collector', 'Local']","['125863', '127037', '128138']"
['Raymond Elementary School'],1.0,0.0,0.0,1.0,0.0,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A07,Ward 1,002900,MID-CITY,14108,REGULAR,0101000020E61000009C6630AFBD4153C0CC534533A0774340,"['10TH STREET NW', 'OTIS PLACE NW']",['Local'],"['125863', '126771', '129318']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A07,Ward 1,002900,MID-CITY,15227,REGULAR,0101000020E6100000B5074470C54153C08771039F4C774340,"['NEW HAMPSHIRE AVENUE NW', 'PARK ROAD NW']",['Collector'],"['129985', '131255', '133361']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A07,Ward 1,002900,MID-CITY,16621,REGULAR,0101000020E61000000A92CCC8D24153C0307A8BF265774340,"['11TH STREET NW', 'MONROE STREET NW']","['Collector', 'Local']","['125303', '127037', '128497', '128905']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A07,Ward 1,002900,MID-CITY,19701,REGULAR,0101000020E61000003D1131ECD24153C027087B37A0774340,"['11TH STREET NW', 'OTIS PLACE NW']",['Local'],"['126046', '126771', '128497', '128591']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A07,Ward 1,003000,MID-CITY,18015,REGULAR,0101000020E61000008BD6320ECF4153C0EAEF6C2846774340,"['11TH STREET NW', 'PARK ROAD NW']",['Collector'],"['125190', '128905', '131478', '133361']"
['Meridian Public Charter School - Middle School'],0.0,1.0,0.0,0.0,1.0,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A07,Ward 1,003100,MID-CITY,13665,REGULAR,0101000020E610000018AFEE91B24153C0C6DB1E2724774340,"['LAMONT STREET NW', 'SHERMAN AVENUE NW']","['Local', 'Minor Arterial']","['128744', '129506', '130672', '130938']"
['E.L. Haynes PCS - Middle School'],0.0,0.0,0.0,0.0,1.0,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A07,Ward 1,003100,MID-CITY,13950,REGULAR,0101000020E610000033291ABAAD4153C05F848EF084774340,['NEW HAMPSHIRE AVENUE NW'],"['Local', 'Minor Arterial']","['124830', '127622', '130150']"
"['E.L. Haynes PCS - Middle School', 'Raymond Elementary School']",1.0,0.0,0.0,1.0,1.0,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A07,Ward 1,003100,MID-CITY,14196,REGULAR,0101000020E61000009EBE13E29C4153C0C6D52F2EB2774340,"['NEW HAMPSHIRE AVENUE NW', 'PRINCETON PLACE NW', 'SPRING ROAD NW']","['Collector', 'Minor Arterial']","['125546', '128581', '133891', '134434']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A07,Ward 1,003100,MID-CITY,14560,REGULAR,0101000020E61000004EA58074B64153C0857CCC9056774340,"['PARK ROAD NW', 'SHERMAN AVENUE NW']","['Collector', 'Minor Arterial']","['130518', '131255', '132590']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A07,Ward 1,003100,MID-CITY,14561,REGULAR,0101000020E61000004C4FC474B74153C0A4D47B8464774340,"['MONROE STREET NW', 'NEW HAMPSHIRE AVENUE NW', 'PARK ROAD NW', 'SHERMAN AVENUE NW']","['Collector', 'Minor Arterial']","['127742', '128138', '129985', '132590', '133830']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A07,Ward 1,003100,MID-CITY,18337,REGULAR,0101000020E610000001887263B14153C0A146385A7B774340,"['NEW HAMPSHIRE AVENUE NW', 'NEWTON PLACE NW']","['Local', 'Minor Arterial']","['124830', '127742', '128872']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A07,Ward 1,003100,MID-CITY,4869,REGULAR,0101000020E6100000CC80F11DB54153C0BA9F493644774340,"['MORTON STREET NW', 'SHERMAN AVENUE NW']","['Local', 'Minor Arterial']","['129652', '130518', '130938']"
"['E.L. Haynes PCS - Middle School', 'Raymond Elementary School']",1.0,0.0,0.0,1.0,1.0,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A08,Ward 1,002900,MID-CITY,13951,REGULAR,0101000020E61000001DFB07D3A94153C06E33F2598F774340,"['NEW HAMPSHIRE AVENUE NW', 'OTIS PLACE NW']","['Local', 'Minor Arterial']","['125546', '126865', '127622']"
['E.L. Haynes PCS - Middle School'],0.0,0.0,0.0,0.0,1.0,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A08,Ward 1,003100,MID-CITY,13553,REGULAR,0101000020E6100000849BF7FE854153C0F718025B6D774340,"['GEORGIA AVENUE NW', 'PARK ROAD NW']","['Collector', 'Principal Arterial']","['126457', '128527', '133830']"
['E.L. Haynes PCS - Middle School'],0.0,0.0,0.0,0.0,1.0,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A08,Ward 1,003100,MID-CITY,13554,REGULAR,0101000020E6100000A7FE127C874153C01F8A30D481774340,"['GEORGIA AVENUE NW', 'NEWTON PLACE NW']","['Local', 'Principal Arterial']","['126457', '128872', '128979']"
['E.L. Haynes PCS - Middle School'],0.0,0.0,0.0,0.0,1.0,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A08,Ward 1,003100,MID-CITY,16801,REGULAR,0101000020E61000000DE5B3638B4153C0CE010AFBB5774340,"['GEORGIA AVENUE NW', 'PRINCETON PLACE NW']","['Collector', 'Local', 'Principal Arterial']","['125806', '127571', '131339', '133891']"
"['Bruce-Monroe Elementary School @ Park View', 'E.L. Haynes PCS - Middle School']",1.0,0.0,0.0,1.0,1.0,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A08,Ward 1,003200,MID-CITY,10131,REGULAR,0101000020E6100000549E7F476B4153C06EEDC259A5774340,"['6TH STREET NW', 'OTIS PLACE NW']",['Local'],"['129319', '129360', '129887']"
