,object_id,install_year,count,ward,location,lat,lng
242,243,FY-09,2,8,300 36th Street NE,38.89378573797326,-76.95515574481544
243,244,FY-09,2,8,Unit - 100 Blk Darrington Street  SW,38.89378573797326,-76.95515574481544
244,245,FY-09,3,1,"700-900 Block of Euclid Street, NW",38.92415545084383,-77.02466794845708
245,246,FY-09,3,2,400 Blk N St. NW,38.907242420322255,-77.01755841820344
246,247,FY-09,3,2,400 Blk O St. NW,38.90858023824253,-77.01604304564475
247,248,FY-09,3,2,2400 blk.  Of    36th  Place.  SE,38.85888669889341,-76.95435391279865
248,249,FY-09,3,3,2400-2500 Pomeroy  Rd SE,38.85493677279743,-76.98955730197764
249,250,FY-09,3,4,1300 Van Buren Street,38.96974215058943,-77.02997781104804
250,251,FY-09,3,5,14TH Street NE bet. Montana Ave. & Saratoga Ave.,38.92326912485089,-76.98641484538625
251,252,FY-09,3,5,14TH Street NE bet. Montana Ave. & Saratoga Ave.,38.92326912485089,-76.98641484538625
252,253,FY-09,3,5,"1800,1900 & 2000 Galludet St NE",38.91356506645388,-76.98620156315297
253,254,FY-09,3,5,4600 blk H street S.E,38.87866224247968,-76.93438883721653
254,255,FY-09,3,5,300 W Street NE  4TH &  Rhode Island Ave.,38.91918190967556,-77.00130802379758
255,256,FY-09,3,5,Lang Place NE bet. 17th and 19th street,38.904373777743224,-76.97622092554852
256,257,FY-09,3,5,"600 morton place, NE",38.90440654507648,-76.99844530486938
257,258,FY-09,3,5,600 Orleans place NE,38.90512360458076,-76.99808396967279
258,259,FY-09,3,5,400-600 M St NE ,38.90565041833585,-76.99844493192066
259,260,FY-09,3,6,Saratoga Ave NE. bet. Brentwood rd & 14th street,38.92233527641671,-76.9859428224724
260,261,FY-09,3,7,Jay St.  NE between 50th Pl & Division Ave,38.90165486169946,-76.92447020895376
261,262,FY-09,3,7,4600 Blk H Street SE ,38.878661419735835,-76.93308065847033
262,263,FY-09,3,7,Unit blk 53th St. SE,38.887290883724155,-76.92581599276843
263,264,FY-09,3,7,3600 Blk Texas Ave SE,38.87113815552325,-76.95220203396536
264,265,FY-09,3,7,Unit & 100 Blk 55th St NE ,38.89078282649386,-76.92293126081807
265,266,FY-09,3,7,Lyman Place NE bet. 17th and 19th streets,38.90497580511382,-76.97621668971888
266,267,FY-09,3,7,3000 - 3100 blk. of P  street  SE,38.87201647972084,-76.96477014389805
267,268,FY-09,3,7,200 blk. Of 54th Street NE ,38.892275757365624,-76.92368440476099
268,269,FY-09,3,7,1100 blk. Of 45th Place  SE (one way street),38.8784783304613,-76.93601047262499
